x [mm],y [mm],intensity [arb]
-44.75,-44.75,3.36861729621887
-44.25,-44.75,3.71028542518615
-43.75,-44.75,3.96909642219543
-43.25,-44.75,4.13966941833496
-42.75,-44.75,4.22142124176025
-42.25,-44.75,4.21814727783203
-41.75,-44.75,4.13988065719604
-41.25,-44.75,4.00172042846679
-40.75,-44.75,3.8215262889862
-40.25,-44.75,3.61753416061401
-39.75,-44.75,3.40631198883056
-39.25,-44.75,3.2013816833496
-38.75,-44.75,3.01247978210449
-38.25,-44.75,2.84545421600341
-37.75,-44.75,2.70259499549865
-37.25,-44.75,2.5832724571228
-36.75,-44.75,2.48474812507629
-36.25,-44.75,2.40300393104553
-35.75,-44.75,2.33357453346252
-35.25,-44.75,2.27234053611755
-34.75,-44.75,2.21618103981018
-34.25,-44.75,2.1634349822998
-33.75,-44.75,2.11408877372741
-33.25,-44.75,2.06963562965393
-32.75,-44.75,2.03258609771728
-32.25,-44.75,2.0057508945465
-31.75,-44.75,1.99152433872222
-31.25,-44.75,1.99129915237426
-30.75,-44.75,2.00529885292053
-30.25,-44.75,2.03285360336303
-29.75,-44.75,2.07299017906188
-29.25,-44.75,2.12511324882507
-28.75,-44.75,2.18947219848632
-28.25,-44.75,2.2671582698822
-27.75,-44.75,2.35960984230041
-27.25,-44.75,2.46789288520813
-26.75,-44.75,2.59202098846435
-26.25,-44.75,2.73074793815612
-25.75,-44.75,2.88204932212829
-25.25,-44.75,3.0441575050354
-24.75,-44.75,3.2168390750885
-24.25,-44.75,3.40228033065795
-23.75,-44.75,3.60522866249084
-23.25,-44.75,3.83200907707214
-22.75,-44.75,4.08854866027832
-22.25,-44.75,4.37793397903442
-21.75,-44.75,4.69802141189575
-21.25,-44.75,5.03986549377441
-20.75,-44.75,5.38749074935913
-20.25,-44.75,5.71918725967407
-19.75,-44.75,6.01018047332763
-19.25,-44.75,6.23624277114868
-18.75,-44.75,6.37753725051879
-18.25,-44.75,6.42197370529174
-17.75,-44.75,6.36740827560424
-17.25,-44.75,6.22222089767456
-16.75,-44.75,6.00412034988403
-16.25,-44.75,5.73765897750854
-15.75,-44.75,5.45095062255859
-15.25,-44.75,5.17226123809814
-14.75,-44.75,4.92704677581787
-14.25,-44.75,4.7359766960144
-13.75,-44.75,4.61379480361938
-13.25,-44.75,4.56897830963134
-12.75,-44.75,4.60360288619995
-12.25,-44.75,4.71326637268066
-11.75,-44.75,4.88708305358886
-11.25,-44.75,5.10804939270019
-10.75,-44.75,5.35418081283569
-10.25,-44.75,5.60067749023437
-9.75,-44.75,5.82299900054931
-9.25,-44.75,6.00033044815063
-8.75,-44.75,6.11847829818725
-8.25,-44.75,6.17145633697509
-7.75,-44.75,6.16142463684082
-7.25,-44.75,6.09698867797851
-6.75,-44.75,5.99055194854736
-6.25,-44.75,5.85548782348632
-5.75,-44.75,5.7040147781372
-5.25,-44.75,5.54601335525512
-4.75,-44.75,5.38883972167968
-4.25,-44.75,5.23773002624511
-3.75,-44.75,5.09652233123779
-3.25,-44.75,4.96833181381225
-2.75,-44.75,4.85608768463134
-2.25,-44.75,4.76288032531738
-1.75,-44.75,4.69221878051757
-1.25,-44.75,4.64825248718261
-0.75,-44.75,4.63594532012939
-0.25,-44.75,4.66119289398193
0.25,-44.75,4.73086929321289
0.75,-44.75,4.85264348983764
1.25,-44.75,5.03457736968994
1.75,-44.75,5.28442430496215
2.25,-44.75,5.60852479934692
2.75,-44.75,6.01036405563354
3.25,-44.75,6.48894262313842
3.75,-44.75,7.03713321685791
4.25,-44.75,7.64048147201538
4.75,-44.75,8.27686309814453
5.25,-44.75,8.91741561889648
5.75,-44.75,9.52898406982421
6.25,-44.75,10.0776872634887
6.75,-44.75,10.5332555770874
7.25,-44.75,10.8729639053344
7.75,-44.75,11.0844469070434
8.25,-44.75,11.1667490005493
8.75,-44.75,11.1292505264282
9.25,-44.75,10.9890480041503
9.75,-44.75,10.76744556427
10.25,-44.75,10.4863729476928
10.75,-44.75,10.1656122207641
11.25,-44.75,9.82129096984863
11.75,-44.75,9.46553897857666
12.25,-44.75,9.10721111297607
12.75,-44.75,8.75315856933593
13.25,-44.75,8.40958404541015
13.75,-44.75,8.083176612854
14.25,-44.75,7.78166818618774
14.75,-44.75,7.51376342773437
15.25,-44.75,7.28859186172485
15.75,-44.75,7.11469602584838
16.25,-44.75,6.99874639511108
16.75,-44.75,6.94430303573608
17.25,-44.75,6.95078897476196
17.75,-44.75,7.01279211044311
18.25,-44.75,7.11991500854492
18.75,-44.75,7.25738143920898
19.25,-44.75,7.40729236602783
19.75,-44.75,7.55059719085693
20.25,-44.75,7.6694917678833
20.75,-44.75,7.74995136260986
21.25,-44.75,7.78382110595703
21.75,-44.75,7.77006340026855
22.25,-44.75,7.71486663818359
22.75,-44.75,7.630539894104
23.25,-44.75,7.53346109390258
23.75,-44.75,7.44145917892456
24.25,-44.75,7.37117290496826
24.75,-44.75,7.33572483062744
25.25,-44.75,7.34308862686157
25.75,-44.75,7.39526271820068
26.25,-44.75,7.48818492889404
26.75,-44.75,7.61250782012939
27.25,-44.75,7.75499534606933
27.75,-44.75,7.90031814575195
28.25,-44.75,8.03309059143066
28.75,-44.75,8.13962364196777
29.25,-44.75,8.2091999053955
29.75,-44.75,8.23470592498779
30.25,-44.75,8.21261405944824
30.75,-44.75,8.14252758026123
31.25,-44.75,8.02657604217529
31.75,-44.75,7.86903429031372
32.25,-44.75,7.67609930038452
32.75,-44.75,7.4557785987854
33.25,-44.75,7.21778631210327
33.75,-44.75,6.97303438186645
34.25,-44.75,6.73267936706543
34.75,-44.75,6.50661659240722
35.25,-44.75,6.30186605453491
35.75,-44.75,6.12100648880004
36.25,-44.75,5.96123123168945
36.75,-44.75,5.81437301635742
37.25,-44.75,5.66815853118896
37.75,-44.75,5.50852108001709
38.25,-44.75,5.32249212265014
38.75,-44.75,5.10109758377075
39.25,-44.75,4.84151172637939
39.75,-44.75,4.54782676696777
40.25,-44.75,4.23045110702514
40.75,-44.75,3.90409040451049
41.25,-44.75,3.58499073982238
41.75,-44.75,3.28807425498962
42.25,-44.75,3.02454018592834
42.75,-44.75,2.80041408538818
43.25,-44.75,2.61616826057434
43.75,-44.75,2.46732187271118
44.25,-44.75,2.34560179710388
44.75,-44.75,2.24031448364257
-44.75,-44.25,3.77689433097839
-44.25,-44.25,4.14653396606445
-43.75,-44.25,4.42607021331787
-43.25,-44.25,4.61144399642944
-42.75,-44.25,4.70335388183593
-42.25,-44.25,4.70671939849853
-41.75,-44.25,4.63265895843505
-41.25,-44.25,4.49717998504638
-40.75,-44.25,4.31879758834838
-40.25,-44.25,4.11610126495361
-39.75,-44.25,3.90574216842651
-39.25,-44.25,3.70111179351806
-38.75,-44.25,3.51164531707763
-38.25,-44.25,3.34276580810546
-37.75,-44.25,3.19625878334045
-37.25,-44.25,3.07095694541931
-36.75,-44.25,2.96360111236572
-36.25,-44.25,2.86974740028381
-35.75,-44.25,2.78467774391174
-35.25,-44.25,2.70424246788024
-34.75,-44.25,2.62557172775268
-34.25,-44.25,2.54751014709472
-33.75,-44.25,2.47077775001525
-33.25,-44.25,2.39774513244628
-32.75,-44.25,2.33185291290283
-32.25,-44.25,2.27681994438171
-31.75,-44.25,2.23585295677185
-31.25,-44.25,2.2110321521759
-30.75,-44.25,2.20312714576721
-30.25,-44.25,2.21187663078308
-29.75,-44.25,2.23658204078674
-29.25,-44.25,2.27679109573364
-28.75,-44.25,2.33277010917663
-28.25,-44.25,2.40548968315124
-27.75,-44.25,2.49614977836608
-27.25,-44.25,2.60548210144042
-26.75,-44.25,2.73311281204223
-26.25,-44.25,2.87740468978881
-25.75,-44.25,3.0359878540039
-25.25,-44.25,3.20681357383728
-24.75,-44.25,3.38944578170776
-24.25,-44.25,3.58592128753662
-23.75,-44.25,3.80086946487426
-23.25,-44.25,4.0404782295227
-22.75,-44.25,4.3105034828186
-22.25,-44.25,4.61377096176147
-21.75,-44.25,4.9477801322937
-21.25,-44.25,5.30309724807739
-20.75,-44.25,5.66311502456665
-20.25,-44.25,6.00537109375
-19.75,-44.25,6.30426502227783
-19.25,-44.25,6.53479385375976
-18.75,-44.25,6.67653942108154
-18.25,-44.25,6.71720075607299
-17.75,-44.25,6.65492725372314
-17.25,-44.25,6.4989366531372
-16.75,-44.25,6.26828002929687
-16.25,-44.25,5.98919296264648
-15.75,-44.25,5.69160223007202
-15.25,-44.25,5.40553855895996
-14.75,-44.25,5.15800809860229
-14.25,-44.25,4.97096157073974
-13.75,-44.25,4.86010217666626
-13.25,-44.25,4.8344759941101
-12.75,-44.25,4.89616870880126
-12.25,-44.25,5.03995943069458
-11.75,-44.25,5.25306034088134
-11.25,-44.25,5.51531076431274
-10.75,-44.25,5.80047130584716
-10.25,-44.25,6.07884883880615
-9.75,-44.25,6.32120990753173
-9.25,-44.25,6.50322008132934
-8.75,-44.25,6.60918092727661
-8.25,-44.25,6.63409090042114
-7.75,-44.25,6.5835223197937
-7.25,-44.25,6.4712905883789
-6.75,-44.25,6.3157935142517
-6.25,-44.25,6.13607692718505
-5.75,-44.25,5.94879674911499
-5.25,-44.25,5.76648759841918
-4.75,-44.25,5.59725856781005
-4.25,-44.25,5.44549942016601
-3.75,-44.25,5.31307983398437
-3.25,-44.25,5.20052480697631
-2.75,-44.25,5.10803318023681
-2.25,-44.25,5.03613328933715
-1.75,-44.25,4.98612689971923
-1.25,-44.25,4.96041965484619
-0.75,-44.25,4.96276807785034
-0.25,-44.25,4.99844741821289
0.25,-44.25,5.07431602478027
0.75,-44.25,5.19864559173584
1.25,-44.25,5.38067388534545
1.75,-44.25,5.62980461120605
2.25,-44.25,5.95441389083862
2.75,-44.25,6.36023807525634
