xmm,ymm,intensity
-44.75,-44.75,0.541041
-44.25,-44.75,0.74167
-43.75,-44.75,0.999441
-43.25,-44.75,1.31904
-42.75,-44.75,1.69791
-42.25,-44.75,2.12276
-41.75,-44.75,2.56987
-41.25,-44.75,3.00624
-40.75,-44.75,3.39312
-40.25,-44.75,3.69158
-39.75,-44.75,3.86898
-39.25,-44.75,3.90504
-38.75,-44.75,3.79569
-38.25,-44.75,3.55401
-37.75,-44.75,3.20767
-37.25,-44.75,2.79385
-36.75,-44.75,2.35272
-36.25,-44.75,1.92127
-35.75,-44.75,1.52854
-35.25,-44.75,1.1933
-34.75,-44.75,0.924044
-34.25,-44.75,0.720804
-33.75,-44.75,0.578008
-33.25,-44.75,0.487529
-32.75,-44.75,0.44115
-32.25,-44.75,0.432211
-31.75,-44.75,0.456157
-31.25,-44.75,0.510239
-30.75,-44.75,0.592575
-30.25,-44.75,0.700942
-29.75,-44.75,0.831686
-29.25,-44.75,0.979005
-28.75,-44.75,1.13485
-28.25,-44.75,1.28948
-27.75,-44.75,1.43258
-27.25,-44.75,1.55467
-26.75,-44.75,1.6486
-26.25,-44.75,1.71058
-25.75,-44.75,1.7408
-25.25,-44.75,1.74331
-24.75,-44.75,1.7253
-24.25,-44.75,1.69607
-23.75,-44.75,1.66577
-23.25,-44.75,1.64441
-22.75,-44.75,1.64112
-22.25,-44.75,1.66372
-21.75,-44.75,1.7185
-21.25,-44.75,1.81013
-20.75,-44.75,1.94139
-20.25,-44.75,2.11269
-19.75,-44.75,2.32165
-19.25,-44.75,2.56256
-18.75,-44.75,2.82627
-18.25,-44.75,3.1006
-17.75,-44.75,3.37127
-17.25,-44.75,3.62343
-16.75,-44.75,3.84338
-16.25,-44.75,4.02017
-15.75,-44.75,4.14685
-15.25,-44.75,4.22104
-14.75,-44.75,4.24496
-14.25,-44.75,4.22494
-13.75,-44.75,4.17069
-13.25,-44.75,4.09455
-12.75,-44.75,4.01071
-12.25,-44.75,3.93434
-11.75,-44.75,3.88067
-11.25,-44.75,3.86363
-10.75,-44.75,3.89415
-10.25,-44.75,3.97834
-9.75,-44.75,4.11573
-9.25,-44.75,4.29814
-8.75,-44.75,4.50976
-8.25,-44.75,4.72866
-7.75,-44.75,4.92975
-7.25,-44.75,5.08872
-6.75,-44.75,5.18619
-6.25,-44.75,5.21107
-5.75,-44.75,5.16227
-5.25,-44.75,5.04845
-4.75,-44.75,4.88584
-4.25,-44.75,4.69482
-3.75,-44.75,4.49632
-3.25,-44.75,4.30866
-2.75,-44.75,4.14566
-2.25,-44.75,4.01605
-1.75,-44.75,3.92384
-1.25,-44.75,3.8692
-0.75,-44.75,3.84938
-0.25,-44.75,3.85933
0.25,-44.75,3.89209
0.75,-44.75,3.93902
1.25,-44.75,3.99021
1.75,-44.75,4.03513
2.25,-44.75,4.06373
2.75,-44.75,4.06775
3.25,-44.75,4.04199
3.75,-44.75,3.98534
4.25,-44.75,3.90118
4.75,-44.75,3.79718
5.25,-44.75,3.68433
5.75,-44.75,3.57549
6.25,-44.75,3.48372
6.75,-44.75,3.42058
7.25,-44.75,3.39491
7.75,-44.75,3.41195
8.25,-44.75,3.47322
8.75,-44.75,3.57692
9.25,-44.75,3.71876
9.75,-44.75,3.893
10.25,-44.75,4.09359
10.75,-44.75,4.31508
11.25,-44.75,4.55323
11.75,-44.75,4.80515
12.25,-44.75,5.06906
12.75,-44.75,5.34359
13.25,-44.75,5.62706
13.75,-44.75,5.91662
14.25,-44.75,6.20758
14.75,-44.75,6.49323
15.25,-44.75,6.7652
15.75,-44.75,7.01429
16.25,-44.75,7.23169
16.75,-44.75,7.41033
17.25,-44.75,7.54603
17.75,-44.75,7.63831
18.25,-44.75,7.69046
18.75,-44.75,7.70905
19.25,-44.75,7.70295
19.75,-44.75,7.68215
20.25,-44.75,7.65659
20.75,-44.75,7.63533
21.25,-44.75,7.62598
21.75,-44.75,7.63445
22.25,-44.75,7.66484
22.75,-44.75,7.71917
23.25,-44.75,7.79714
23.75,-44.75,7.89562
24.25,-44.75,8.00821
24.75,-44.75,8.12506
25.25,-44.75,8.2331
25.75,-44.75,8.31675
26.25,-44.75,8.35919
26.75,-44.75,8.34393
27.25,-44.75,8.2566
27.75,-44.75,8.08676
28.25,-44.75,7.82937
28.75,-44.75,7.48599
29.25,-44.75,7.06506
29.75,-44.75,6.58129
30.25,-44.75,6.05405
30.75,-44.75,5.50503
31.25,-44.75,4.95562
31.75,-44.75,4.42462
32.25,-44.75,3.92665
32.75,-44.75,3.47163
33.25,-44.75,3.06519
33.75,-44.75,2.70951
34.25,-44.75,2.40459
34.75,-44.75,2.14898
35.25,-44.75,1.94038
35.75,-44.75,1.77574
36.25,-44.75,1.65119
36.75,-44.75,1.56189
37.25,-44.75,1.50185
37.75,-44.75,1.46381
38.25,-44.75,1.43936
38.75,-44.75,1.41934
39.25,-44.75,1.39468
39.75,-44.75,1.3576
40.25,-44.75,1.30298
40.75,-44.75,1.22958
41.25,-44.75,1.14072
41.75,-44.75,1.04409
42.25,-44.75,0.950733
42.75,-44.75,0.873209
43.25,-44.75,0.82348
43.75,-44.75,0.810709
44.25,-44.75,0.839498
44.75,-44.75,0.908896
-44.75,-44.25,0.631856
-44.25,-44.25,0.826348
-43.75,-44.25,1.07242
-43.25,-44.25,1.37427
-42.75,-44.25,1.72932
-42.25,-44.25,2.12503
-41.75,-44.25,2.53958
-41.25,-44.25,2.94289
-40.75,-44.25,3.29984
-40.25,-44.25,3.57521
-39.75,-44.25,3.73944
-39.25,-44.25,3.774
-38.75,-44.25,3.6749
-38.25,-44.25,3.4535
-37.75,-44.25,3.13435
-37.25,-44.25,2.75069
-36.75,-44.25,2.33884
-36.25,-44.25,1.93258
-35.75,-44.25,1.559
-35.25,-44.25,1.23613
-34.75,-44.25,0.972874
-34.25,-44.25,0.770339
-33.75,-44.25,0.624287
-33.25,-44.25,0.527794
-32.75,-44.25,0.473499
-32.25,-44.25,0.455181
-31.75,-44.25,0.468404
-31.25,-44.25,0.51038
-30.75,-44.25,0.579238
-30.25,-44.25,0.672994
-29.75,-44.25,0.788578
-29.25,-44.25,0.921147
-28.75,-44.25,1.06392
-28.25,-44.25,1.20859
-27.75,-44.25,1.34618
-27.25,-44.25,1.46829
-26.75,-44.25,1.5683
-26.25,-44.25,1.64235
-25.75,-44.25,1.68988
-25.25,-44.25,1.71364
-24.75,-44.25,1.71919
-24.25,-44.25,1.71405
-23.75,-44.25,1.70675
-23.25,-44.25,1.70595
-22.75,-44.25,1.71975
-22.25,-44.25,1.75532
-21.75,-44.25,1.8186
-21.25,-44.25,1.91417
-20.75,-44.25,2.04494
-20.25,-44.25,2.21182
-19.75,-44.25,2.41326
-19.25,-44.25,2.64479
-18.75,-44.25,2.89893
-18.25,-44.25,3.16528
-17.75,-44.25,3.43134
-17.25,-44.25,3.68367
-16.75,-44.25,3.90937
-16.25,-44.25,4.09767
-15.75,-44.25,4.24117
-15.25,-44.25,4.33671
-14.75,-44.25,4.3856
-14.25,-44.25,4.39343
-13.75,-44.25,4.36943
-13.25,-44.25,4.32573
-12.75,-44.25,4.27644
-12.25,-44.25,4.23657
-11.75,-44.25,4.22096
-11.25,-44.25,4.24275
-10.75,-44.25,4.31171
-10.25,-44.25,4.43237
-9.75,-44.25,4.60251
-9.25,-44.25,4.81213
-8.75,-44.25,5.04381
-8.25,-44.25,5.27441
-7.75,-44.25,5.47827
-7.25,-44.25,5.63131
-6.75,-44.25,5.71522
-6.25,-44.25,5.7207
-5.75,-44.25,5.64907
-5.25,-44.25,5.5117
-4.75,-44.25,5.32752
-4.25,-44.25,5.11938
-3.75,-44.25,4.91008
-3.25,-44.25,4.71919
-2.75,-44.25,4.56105
-2.25,-44.25,4.44419
-1.75,-44.25,4.37181
-1.25,-44.25,4.34285
-0.75,-44.25,4.35299
-0.25,-44.25,4.39555
0.25,-44.25,4.46202
0.75,-44.25,4.54244
1.25,-44.25,4.6259
1.75,-44.25,4.70126
2.25,-44.25,4.75816
2.75,-44.25,4.7882
3.25,-44.25,4.78612
3.75,-44.25,4.75063
4.25,-44.25,4.68476
4.75,-44.25,4.59565
5.25,-44.25,4.49373
5.75,-44.25,4.39144
6.25,-44.25,4.30177
6.75,-44.25,4.23672
7.25,-44.25,4.20607
7.75,-44.25,4.21648
8.25,-44.25,4.27118
8.75,-44.25,4.37012
9.25,-44.25,4.51063
9.75,-44.25,4.6882
10.25,-44.25,4.89749
10.75,-44.25,5.13317
11.25,-44.25,5.39041
11.75,-44.25,5.66509
12.25,-44.25,5.95363
12.75,-44.25,6.25252
13.25,-44.25,6.55791
13.75,-44.25,6.86513
14.25,-44.25,7.16834
14.75,-44.25,7.46063
15.25,-44.25,7.7343
15.75,-44.25,7.98151
16.25,-44.25,8.19509
16.75,-44.25,8.3694
17.25,-44.25,8.5011
17.75,-44.25,8.58977
18.25,-44.25,8.63799
18.75,-44.25,8.65109
19.25,-44.25,8.63654
19.75,-44.25,8.60303
20.25,-44.25,8.55961
20.75,-44.25,8.51478
21.25,-44.25,8.47588
21.75,-44.25,8.44863
22.25,-44.25,8.43675
22.75,-44.25,8.44168
23.25,-44.25,8.46231
23.75,-44.25,8.49461
24.25,-44.25,8.53153
24.75,-44.25,8.56303
25.25,-44.25,8.57657
25.75,-44.25,8.55801
26.25,-44.25,8.49292
26.75,-44.25,8.36804
27.25,-44.25,8.17286
27.75,-44.25,7.90102
28.25,-44.25,7.55142
28.75,-44.25,7.12891
29.25,-44.25,6.64432
29.75,-44.25,6.11362
30.25,-44.25,5.55639
30.75,-44.25,4.99366
31.25,-44.25,4.44557
31.75,-44.25,3.92925
32.25,-44.25,3.45748
32.75,-44.25,3.03812
33.25,-44.25,2.67451
33.75,-44.25,2.36641
34.25,-44.25,2.11126
34.75,-44.25,1.90515
35.25,-44.25,1.74365
35.75,-44.25,1.6221
36.25,-44.25,1.53561
36.75,-44.25,1.47889
37.25,-44.25,1.44593
37.75,-44.25,1.4298
38.25,-44.25,1.42263
38.75,-44.25,1.4159
39.25,-44.25,1.40123
39.75,-44.25,1.3715
40.25,-44.25,1.32218
40.75,-44.25,1.25245
41.25,-44.25,1.16585
41.75,-44.25,1.07014
42.25,-44.25,0.976295
42.75,-44.25,0.896768
43.25,-44.25,0.843457
43.75,-44.25,0.825568
44.25,-44.25,0.847874
44.75,-44.25,0.909734
-44.75,-43.75,0.76513
-44.25,-43.75,0.948343
-43.75,-43.75,1.17578
-43.25,-43.75,1.45145
-42.75,-43.75,1.77337
