xmm,ymm,intensity
-44.75,-44.75,3.86033
-44.25,-44.75,3.90586
-43.75,-44.75,3.87991
-43.25,-44.75,3.81837
-42.75,-44.75,3.75121
-42.25,-44.75,3.69233
-41.75,-44.75,3.64965
-41.25,-44.75,3.62573
-40.75,-44.75,3.61815
-40.25,-44.75,3.62048
-39.75,-44.75,3.62392
-39.25,-44.75,3.61918
-38.75,-44.75,3.59851
-38.25,-44.75,3.55731
-37.75,-44.75,3.49525
-37.25,-44.75,3.41641
-36.75,-44.75,3.3283
-36.25,-44.75,3.2402
-35.75,-44.75,3.16087
-35.25,-44.75,3.09649
-34.75,-44.75,3.04916
-34.25,-44.75,3.01654
-33.75,-44.75,2.99267
-33.25,-44.75,2.9697
-32.75,-44.75,2.94008
-32.25,-44.75,2.89856
-31.75,-44.75,2.84348
-31.25,-44.75,2.77707
-30.75,-44.75,2.70484
-30.25,-44.75,2.63436
-29.75,-44.75,2.57357
-29.25,-44.75,2.52941
-28.75,-44.75,2.50671
-28.25,-44.75,2.50762
-27.75,-44.75,2.53149
-27.25,-44.75,2.57515
-26.75,-44.75,2.63342
-26.25,-44.75,2.69978
-25.75,-44.75,2.76718
-25.25,-44.75,2.82879
-24.75,-44.75,2.87885
-24.25,-44.75,2.91341
-23.75,-44.75,2.93089
-23.25,-44.75,2.93239
-22.75,-44.75,2.92154
-22.25,-44.75,2.90406
-21.75,-44.75,2.88702
-21.25,-44.75,2.87799
-20.75,-44.75,2.88432
-20.25,-44.75,2.91261
-19.75,-44.75,2.96846
-19.25,-44.75,3.05648
-18.75,-44.75,3.18033
-18.25,-44.75,3.34277
-17.75,-44.75,3.54557
-17.25,-44.75,3.78924
-16.75,-44.75,4.07281
-16.25,-44.75,4.39362
-15.75,-44.75,4.74724
-15.25,-44.75,5.12772
-14.75,-44.75,5.528
-14.25,-44.75,5.94053
-13.75,-44.75,6.35801
-13.25,-44.75,6.77399
-12.75,-44.75,7.18332
-12.25,-44.75,7.58227
-11.75,-44.75,7.96815
-11.25,-44.75,8.33856
-10.75,-44.75,8.69039
-10.25,-44.75,9.01874
-9.75,-44.75,9.31619
-9.25,-44.75,9.5728
-8.75,-44.75,9.77696
-8.25,-44.75,9.91726
-7.75,-44.75,9.98518
-7.25,-44.75,9.97783
-6.75,-44.75,9.90009
-6.25,-44.75,9.76547
-5.75,-44.75,9.59548
-5.25,-44.75,9.41708
-4.75,-44.75,9.25949
-4.25,-44.75,9.15056
-3.75,-44.75,9.11375
-3.25,-44.75,9.16631
-2.75,-44.75,9.31865
-2.25,-44.75,9.57457
-1.75,-44.75,9.93196
-1.25,-44.75,10.3834
-0.75,-44.75,10.9169
-0.25,-44.75,11.5163
0.25,-44.75,12.162
0.75,-44.75,12.8321
1.25,-44.75,13.5038
1.75,-44.75,14.1553
2.25,-44.75,14.7678
2.75,-44.75,15.3271
3.25,-44.75,15.8247
3.75,-44.75,16.2583
4.25,-44.75,16.6308
4.75,-44.75,16.9492
5.25,-44.75,17.2229
5.75,-44.75,17.4612
6.25,-44.75,17.6723
6.75,-44.75,17.8615
7.25,-44.75,18.0316
7.75,-44.75,18.1821
8.25,-44.75,18.3104
8.75,-44.75,18.4116
9.25,-44.75,18.4795
9.75,-44.75,18.5062
10.25,-44.75,18.4829
10.75,-44.75,18.3996
11.25,-44.75,18.2462
11.75,-44.75,18.0126
12.25,-44.75,17.6904
12.75,-44.75,17.2734
13.25,-44.75,16.7594
13.75,-44.75,16.1514
14.25,-44.75,15.4581
14.75,-44.75,14.6942
15.25,-44.75,13.8805
15.75,-44.75,13.0418
16.25,-44.75,12.2056
16.75,-44.75,11.3989
17.25,-44.75,10.6459
17.75,-44.75,9.96566
18.25,-44.75,9.37079
18.75,-44.75,8.86658
19.25,-44.75,8.45139
19.75,-44.75,8.11743
20.25,-44.75,7.85212
20.75,-44.75,7.63952
21.25,-44.75,7.46203
21.75,-44.75,7.30221
22.25,-44.75,7.14452
22.75,-44.75,6.9769
23.25,-44.75,6.79176
23.75,-44.75,6.58638
24.25,-44.75,6.36231
24.75,-44.75,6.12409
25.25,-44.75,5.87742
25.75,-44.75,5.62739
26.25,-44.75,5.37705
26.75,-44.75,5.12693
27.25,-44.75,4.87548
27.75,-44.75,4.62019
28.25,-44.75,4.35917
28.75,-44.75,4.09233
29.25,-44.75,3.8219
29.75,-44.75,3.55203
30.25,-44.75,3.28767
30.75,-44.75,3.03316
31.25,-44.75,2.79105
31.75,-44.75,2.56168
32.25,-44.75,2.34345
32.75,-44.75,2.13382
33.25,-44.75,1.93045
33.75,-44.75,1.73208
34.25,-44.75,1.53897
34.75,-44.75,1.35268
35.25,-44.75,1.17554
35.75,-44.75,1.00996
36.25,-44.75,0.857921
36.75,-44.75,0.720696
37.25,-44.75,0.598848
37.75,-44.75,0.492353
38.25,-44.75,0.40076
38.75,-44.75,0.323336
39.25,-44.75,0.259145
39.75,-44.75,0.20711
40.25,-44.75,0.166089
40.75,-44.75,0.135
41.25,-44.75,0.11294
41.75,-44.75,0.0992987
42.25,-44.75,0.0937623
42.75,-44.75,0.0962344
43.25,-44.75,0.106609
43.75,-44.75,0.124467
44.25,-44.75,0.14866
44.75,-44.75,0.177056
-44.75,-44.25,4.66152
-44.25,-44.25,4.65819
-43.75,-44.25,4.55742
-43.25,-44.25,4.40574
-42.75,-44.25,4.24249
-42.25,-44.25,4.08777
-41.75,-44.25,3.95431
-41.25,-44.25,3.84803
-40.75,-44.25,3.76851
-40.25,-44.25,3.71025
-39.75,-44.25,3.66465
-39.25,-44.25,3.62225
-38.75,-44.25,3.57502
-38.25,-44.25,3.51821
-37.75,-44.25,3.45153
-37.25,-44.25,3.37917
-36.75,-44.25,3.30872
-36.25,-44.25,3.24913
-35.75,-44.25,3.20819
-35.25,-44.25,3.1902
-34.75,-44.25,3.19442
-34.25,-44.25,3.21484
-33.75,-44.25,3.24133
-33.25,-44.25,3.26178
-32.75,-44.25,3.26479
-32.25,-44.25,3.24217
-31.75,-44.25,3.19046
-31.25,-44.25,3.11158
-30.75,-44.25,3.01217
-30.25,-44.25,2.90229
-29.75,-44.25,2.79355
-29.25,-44.25,2.69737
-28.75,-44.25,2.62344
-28.25,-44.25,2.57863
-27.75,-44.25,2.56646
-27.25,-44.25,2.58686
-26.75,-44.25,2.63643
-26.25,-44.25,2.70898
-25.75,-44.25,2.79627
-25.25,-44.25,2.8891
-24.75,-44.25,2.97851
-24.25,-44.25,3.05699
