x [mm],y [mm],Beam dist
-44.75,-44.75,2.49862e-05
-44.25,-44.75,2.49862e-05
-43.75,-44.75,2.49862e-05
-43.25,-44.75,9.214e-05
-42.75,-44.75,0.000159294
-42.25,-44.75,0.000226448
-41.75,-44.75,0.000293601
-41.25,-44.75,0.000360755
-40.75,-44.75,0.000482464
-40.25,-44.75,0.000604173
-39.75,-44.75,0.000725882
-39.25,-44.75,0.000847591
-38.75,-44.75,0.0009693
-38.25,-44.75,0.000934236
-37.75,-44.75,0.000899172
-37.25,-44.75,0.000864108
-36.75,-44.75,0.000829044
-36.25,-44.75,0.00079398
-35.75,-44.75,0.000760955
-35.25,-44.75,0.000727931
-34.75,-44.75,0.000694907
-34.25,-44.75,0.000661883
-33.75,-44.75,0.000628858
-33.25,-44.75,0.000618871
-32.75,-44.75,0.000608883
-32.25,-44.75,0.000598895
-31.75,-44.75,0.000588907
-31.25,-44.75,0.000578919
-30.75,-44.75,0.000577562
-30.25,-44.75,0.000576205
-29.75,-44.75,0.000574849
-29.25,-44.75,0.000573492
-28.75,-44.75,0.000572135
-28.25,-44.75,0.000579652
-27.75,-44.75,0.00058717
-27.25,-44.75,0.000594687
-26.75,-44.75,0.000602205
-26.25,-44.75,0.000609723
-25.75,-44.75,0.000631698
-25.25,-44.75,0.000653674
-24.75,-44.75,0.00067565
-24.25,-44.75,0.000697625
-23.75,-44.75,0.000719601
-23.25,-44.75,0.000750055
-22.75,-44.75,0.000780509
-22.25,-44.75,0.000810963
-21.75,-44.75,0.000841417
-21.25,-44.75,0.000871871
-20.75,-44.75,0.000905431
-20.25,-44.75,0.00093899
-19.75,-44.75,0.00097255
-19.25,-44.75,0.00100611
-18.75,-44.75,0.00103967
-18.25,-44.75,0.00108442
-17.75,-44.75,0.00112918
-17.25,-44.75,0.00117393
-16.75,-44.75,0.00121869
-16.25,-44.75,0.00126344
-15.75,-44.75,0.00132312
-15.25,-44.75,0.00138279
-14.75,-44.75,0.00144246
-14.25,-44.75,0.00150214
-13.75,-44.75,0.00156181
-13.25,-44.75,0.00162072
-12.75,-44.75,0.00167963
-12.25,-44.75,0.00173853
-11.75,-44.75,0.00179744
-11.25,-44.75,0.00185635
-10.75,-44.75,0.00191971
-10.25,-44.75,0.00198306
-9.75,-44.75,0.00204642
-9.25,-44.75,0.00210977
-8.75,-44.75,0.00217313
-8.25,-44.75,0.00225107
-7.75,-44.75,0.00232902
-7.25,-44.75,0.00240696
-6.75,-44.75,0.0024849
-6.25,-44.75,0.00256284
-5.75,-44.75,0.00263925
-5.25,-44.75,0.00271566
-4.75,-44.75,0.00279207
-4.25,-44.75,0.00286848
-3.75,-44.75,0.00294489
-3.25,-44.75,0.00304057
-2.75,-44.75,0.00313625
-2.25,-44.75,0.00323193
-1.75,-44.75,0.00332761
-1.25,-44.75,0.00342328
-0.75,-44.75,0.0034912
-0.25,-44.75,0.00355912
0.25,-44.75,0.00362704
0.75,-44.75,0.00369496
1.25,-44.75,0.00376288
1.75,-44.75,0.003831
2.25,-44.75,0.00389911
2.75,-44.75,0.00396723
3.25,-44.75,0.00403534
3.75,-44.75,0.00410345
4.25,-44.75,0.0041764
4.75,-44.75,0.00424935
5.25,-44.75,0.00432229
5.75,-44.75,0.00439524
6.25,-44.75,0.00446819
6.75,-44.75,0.00449528
7.25,-44.75,0.00452238
7.75,-44.75,0.00454947
8.25,-44.75,0.00457657
8.75,-44.75,0.00460366
9.25,-44.75,0.00460482
9.75,-44.75,0.00460597
10.25,-44.75,0.00460713
10.75,-44.75,0.00460829
11.25,-44.75,0.00460944
11.75,-44.75,0.00453113
12.25,-44.75,0.00445281
12.75,-44.75,0.0043745
13.25,-44.75,0.00429619
13.75,-44.75,0.00421787
14.25,-44.75,0.00412387
14.75,-44.75,0.00402986
15.25,-44.75,0.00393586
15.75,-44.75,0.00384185
16.25,-44.75,0.00374785
16.75,-44.75,0.00362581
17.25,-44.75,0.00350378
17.75,-44.75,0.00338175
18.25,-44.75,0.00325972
18.75,-44.75,0.00313768
19.25,-44.75,0.00302415
19.75,-44.75,0.00291061
20.25,-44.75,0.00279707
20.75,-44.75,0.00268353
21.25,-44.75,0.00256999
21.75,-44.75,0.00246914
22.25,-44.75,0.0023683
22.75,-44.75,0.00226745
23.25,-44.75,0.0021666
23.75,-44.75,0.00206576
24.25,-44.75,0.00197893
24.75,-44.75,0.00189209
25.25,-44.75,0.00180526
25.75,-44.75,0.00171843
26.25,-44.75,0.00163159
26.75,-44.75,0.00156252
27.25,-44.75,0.00149344
27.75,-44.75,0.00142436
28.25,-44.75,0.00135529
28.75,-44.75,0.00128621
29.25,-44.75,0.00123263
29.75,-44.75,0.00117905
30.25,-44.75,0.00112548
30.75,-44.75,0.0010719
31.25,-44.75,0.00101832
31.75,-44.75,0.000973884
32.25,-44.75,0.000929449
32.75,-44.75,0.000885013
33.25,-44.75,0.000840578
33.75,-44.75,0.000796142
34.25,-44.75,0.000758339
34.75,-44.75,0.000720535
35.25,-44.75,0.000682731
35.75,-44.75,0.000644928
36.25,-44.75,0.000607124
36.75,-44.75,0.000554982
37.25,-44.75,0.00050284
37.75,-44.75,0.000450698
38.25,-44.75,0.000398556
38.75,-44.75,0.000346414
39.25,-44.75,0.000279061
39.75,-44.75,0.000211707
40.25,-44.75,0.000144354
40.75,-44.75,7.70009e-05
41.25,-44.75,9.64762e-06
41.75,-44.75,1.64745e-05
42.25,-44.75,2.33014e-05
42.75,-44.75,3.01283e-05
43.25,-44.75,3.69551e-05
43.75,-44.75,4.3782e-05
44.25,-44.75,4.3782e-05
44.75,-44.75,4.3782e-05
-44.75,-44.25,2.49862e-05
-44.25,-44.25,2.49862e-05
-43.75,-44.25,2.49862e-05
-43.25,-44.25,9.214e-05
-42.75,-44.25,0.000159294
-42.25,-44.25,0.000226448
-41.75,-44.25,0.000293601
-41.25,-44.25,0.000360755
-40.75,-44.25,0.000482464
-40.25,-44.25,0.000604173
-39.75,-44.25,0.000725882
-39.25,-44.25,0.000847591
-38.75,-44.25,0.0009693
-38.25,-44.25,0.000934236
-37.75,-44.25,0.000899172
-37.25,-44.25,0.000864108
-36.75,-44.25,0.000829044
-36.25,-44.25,0.00079398
-35.75,-44.25,0.000760955
-35.25,-44.25,0.000727931
-34.75,-44.25,0.000694907
-34.25,-44.25,0.000661883
-33.75,-44.25,0.000628858
-33.25,-44.25,0.000618871
-32.75,-44.25,0.000608883
-32.25,-44.25,0.000598895
-31.75,-44.25,0.000588907
-31.25,-44.25,0.000578919
-30.75,-44.25,0.000577562
-30.25,-44.25,0.000576205
-29.75,-44.25,0.000574849
-29.25,-44.25,0.000573492
-28.75,-44.25,0.000572135
