x [mm],y [mm],Beam dist
-44.75,-44.75,2.69227e-05
-44.25,-44.75,2.69227e-05
-43.75,-44.75,2.69227e-05
-43.25,-44.75,6.4906e-05
-42.75,-44.75,0.000102889
-42.25,-44.75,0.000140873
-41.75,-44.75,0.000178856
-41.25,-44.75,0.000216839
-40.75,-44.75,0.000271583
-40.25,-44.75,0.000326328
-39.75,-44.75,0.000381072
-39.25,-44.75,0.000435816
-38.75,-44.75,0.00049056
-38.25,-44.75,0.000482727
-37.75,-44.75,0.000474893
-37.25,-44.75,0.00046706
-36.75,-44.75,0.000459226
-36.25,-44.75,0.000451393
-35.75,-44.75,0.00044241
-35.25,-44.75,0.000433426
-34.75,-44.75,0.000424443
-34.25,-44.75,0.000415459
-33.75,-44.75,0.000406476
-33.25,-44.75,0.000409414
-32.75,-44.75,0.000412352
-32.25,-44.75,0.000415291
-31.75,-44.75,0.000418229
-31.25,-44.75,0.000421167
-30.75,-44.75,0.000423729
-30.25,-44.75,0.00042629
-29.75,-44.75,0.000428852
-29.25,-44.75,0.000431413
-28.75,-44.75,0.000433974
-28.25,-44.75,0.000449908
-27.75,-44.75,0.000465842
-27.25,-44.75,0.000481776
-26.75,-44.75,0.000497709
-26.25,-44.75,0.000513643
-25.75,-44.75,0.000532947
-25.25,-44.75,0.000552251
-24.75,-44.75,0.000571555
-24.25,-44.75,0.000590858
-23.75,-44.75,0.000610162
-23.25,-44.75,0.000639941
-22.75,-44.75,0.000669719
-22.25,-44.75,0.000699497
-21.75,-44.75,0.000729276
-21.25,-44.75,0.000759054
-20.75,-44.75,0.000796801
-20.25,-44.75,0.000834549
-19.75,-44.75,0.000872296
-19.25,-44.75,0.000910043
-18.75,-44.75,0.000947791
-18.25,-44.75,0.000978441
-17.75,-44.75,0.00100909
-17.25,-44.75,0.00103974
-16.75,-44.75,0.00107039
-16.25,-44.75,0.00110104
-15.75,-44.75,0.00115697
-15.25,-44.75,0.00121289
-14.75,-44.75,0.00126882
-14.25,-44.75,0.00132475
-13.75,-44.75,0.00138067
-13.25,-44.75,0.00143763
-12.75,-44.75,0.00149459
-12.25,-44.75,0.00155155
-11.75,-44.75,0.00160852
-11.25,-44.75,0.00166548
-10.75,-44.75,0.00173456
-10.25,-44.75,0.00180364
-9.75,-44.75,0.00187272
-9.25,-44.75,0.0019418
-8.75,-44.75,0.00201088
-8.25,-44.75,0.00208479
-7.75,-44.75,0.00215871
-7.25,-44.75,0.00223262
-6.75,-44.75,0.00230654
-6.25,-44.75,0.00238045
-5.75,-44.75,0.00246778
-5.25,-44.75,0.00255511
-4.75,-44.75,0.00264244
-4.25,-44.75,0.00272977
-3.75,-44.75,0.0028171
-3.25,-44.75,0.00288119
-2.75,-44.75,0.00294527
-2.25,-44.75,0.00300936
