x(cm),y(cm),Transient (arb),Normalized Transient
-4.475,-4.475,0.762205,0.614230685545285
-4.425,-4.475,0.787101,0.63429338147005
-4.375,-4.475,0.811965,0.65433028986792
-4.325,-4.475,0.836786,0.674332546276523
-4.275,-4.475,0.861553,0.69429128623349
-4.225,-4.475,0.886255,0.71419764527645
-4.175,-4.475,0.910881,0.734042758943034
-4.125,-4.475,0.935419,0.753816956910654
-4.075,-4.475,0.959859,0.773512180577157
-4.025,-4.475,0.984191,0.793120371340387
-3.975,-4.475,1.0084,0.812629441297113
-3.925,-4.475,1.03248,0.83203455528604
-3.875,-4.475,1.05643,0.851334907446954
-3.825,-4.475,1.08022,0.870506321973391
-3.775,-4.475,1.10385,0.889548798865349
-3.725,-4.475,1.12731,0.908454279520674
-3.675,-4.475,1.15059,0.927214705337212
-3.625,-4.475,1.17368,0.945822017712808
-3.575,-4.475,1.19658,0.96427621664746
-3.525,-4.475,1.21927,0.982561184936861
-3.475,-4.475,1.24174,1.00066886397885
-3.425,-4.475,1.26398,1.01859119517129
-3.375,-4.475,1.286,1.03633623711631
-3.325,-4.475,1.30778,1.05388787260962
-3.275,-4.475,1.32931,1.07123804304905
-3.225,-4.475,1.35058,1.08837868983246
-3.175,-4.475,1.37159,1.10530981295984
-3.125,-4.475,1.39234,1.1220314124312
-3.075,-4.475,1.41281,1.13852737104222
-3.025,-4.475,1.433,1.1547976887929
-2.975,-4.475,1.4529,1.17083430708109
-2.925,-4.475,1.47251,1.18663722590679
-2.875,-4.475,1.49183,1.20220644527
-2.825,-4.475,1.51084,1.21752584796641
-2.775,-4.475,1.52955,1.23260349259817
-2.725,-4.475,1.54794,1.24742326196098
-2.675,-4.475,1.56602,1.26199321465699
-2.625,-4.475,1.58378,1.27630529208404
-2.575,-4.475,1.60122,1.29035949424213
-2.525,-4.475,1.61833,1.30414776252911
-2.475,-4.475,1.63512,1.31767815554714
-2.425,-4.475,1.65157,1.3309345560919
-2.375,-4.475,1.66769,1.34392502276555
-2.325,-4.475,1.68347,1.35664149696594
-2.275,-4.475,1.69892,1.36909203729521
-2.225,-4.475,1.71402,1.38126052654907
-2.175,-4.475,1.72879,1.39316308193181
-2.125,-4.475,1.74321,1.40478358623913
-2.075,-4.475,1.75729,1.41613009807319
-2.025,-4.475,1.77102,1.42719455883183
-1.975,-4.475,1.78441,1.4379850271172
-1.925,-4.475,1.79745,1.44849344432715
-1.875,-4.475,1.81015,1.45872786906383
-1.825,-4.475,1.8225,1.4686802427251
-1.775,-4.475,1.8345,1.47835056531094
-1.725,-4.475,1.84616,1.48774689542352
-1.675,-4.475,1.85747,1.49686117446068
-1.625,-4.475,1.86843,1.50569340242242
-1.575,-4.475,1.87905,1.51425163791089
-1.525,-4.475,1.88932,1.52252782232394
-1.475,-4.475,1.89925,1.53053001426373
-1.425,-4.475,1.90884,1.53825821373025
-1.375,-4.475,1.91808,1.54570436212135
-1.325,-4.475,1.92698,1.55287651803918
-1.275,-4.475,1.93554,1.55977468148375
-1.225,-4.475,1.94375,1.5663907938529
-1.175,-4.475,1.95163,1.57274097235094
-1.125,-4.475,1.95917,1.57881715837571
-1.075,-4.475,1.96637,1.58461935192721
-1.025,-4.475,1.97324,1.59015561160761
-0.975,-4.475,1.97977,1.59541787881474
-0.925,-4.475,1.98596,1.60040615354861
-0.875,-4.475,1.99182,1.60512849441136
-0.825,-4.475,1.99735,1.609584901403
-0.775,-4.475,2.00255,1.61377537452354
-0.725,-4.475,2.00742,1.61769991377296
-0.675,-4.475,2.01196,1.62135851915127
-0.625,-4.475,2.01617,1.62475119065847
-0.575,-4.475,2.02005,1.62787792829456
-0.525,-4.475,2.0236,1.63073873205954
-0.475,-4.475,2.02683,1.63334166055556
-0.425,-4.475,2.02973,1.63567865518047
-0.375,-4.475,2.03231,1.63775777453643
-0.325,-4.475,2.03456,1.63957096002127
-0.275,-4.475,2.03649,1.64112627023716
-0.225,-4.475,2.0381,1.6424237051841
-0.175,-4.475,2.03938,1.64345520625992
-0.125,-4.475,2.04034,1.64422883206679
-0.075,-4.475,2.04098,1.6447445826047
-0.025,-4.475,2.04129,1.6449943992715
0.025,-4.475,2.04129,1.6449943992715
0.075,-4.475,2.04096,1.64472846540039
0.125,-4.475,2.04031,1.64420465626033
0.175,-4.475,2.03933,1.64341491324915
0.225,-4.475,2.03804,1.64237535357117
0.275,-4.475,2.03642,1.64106986002208
0.325,-4.475,2.03447,1.63949843260188
0.375,-4.475,2.0322,1.63766912991273
0.425,-4.475,2.02961,1.63558195195461
0.475,-4.475,2.0267,1.63323689872755
0.525,-4.475,2.02345,1.63061785302721
0.575,-4.475,2.01989,1.62774899066008
0.625,-4.475,2.01599,1.62460613581968
0.675,-4.475,2.01177,1.62120540571033
0.725,-4.475,2.00721,1.6175306831277
0.775,-4.475,2.00233,1.61359808527613
0.825,-4.475,1.99712,1.60939955355344
0.875,-4.475,1.99158,1.60493508795964
0.925,-4.475,1.9857,1.60019662989258
0.975,-4.475,1.97949,1.5951922379544
1.025,-4.475,1.97295,1.58992191214512
1.075,-4.475,1.96607,1.58437759386257
1.125,-4.475,1.95885,1.57855928310675
1.175,-4.475,1.9513,1.57247503847983
1.225,-4.475,1.9434,1.56610874277748
1.275,-4.475,1.93517,1.55947651320402
1.325,-4.475,1.9266,1.5525702911573
1.375,-4.475,1.91769,1.54539007663731
1.425,-4.475,1.90843,1.5379278110419
1.475,-4.475,1.89883,1.53019155297322
1.525,-4.475,1.88889,1.52218130243128
1.575,-4.475,1.8786,1.51388900081392
1.625,-4.475,1.86796,1.50531464812114
1.675,-4.475,1.85698,1.49646630295509
1.725,-4.475,1.84566,1.48734396531578
1.775,-4.475,1.83399,1.47793957660104
1.825,-4.475,1.82197,1.46825313681089
1.875,-4.475,1.8096,1.45828464594531
1.925,-4.475,1.79689,1.44804216260647
1.975,-4.475,1.78383,1.43751762819221
2.025,-4.475,1.77043,1.42671910130469
2.075,-4.475,1.75668,1.41563852334174
2.125,-4.475,1.74259,1.40428395290553
2.175,-4.475,1.72815,1.3926473313939
2.225,-4.475,1.71337,1.380736717409
2.275,-4.475,1.69824,1.36854405234868
2.325,-4.475,1.68278,1.35608545341725
2.375,-4.475,1.66698,1.34335286201256
2.425,-4.475,1.65085,1.33035433673675
2.475,-4.475,1.63438,1.31708181898768
2.525,-4.475,1.61758,1.3035433673675
2.575,-4.475,1.60045,1.2897389818762
2.625,-4.475,1.58299,1.2756686625138
2.675,-4.475,1.56521,1.26134046788244
2.725,-4.475,1.54711,1.24675439798213
2.775,-4.475,1.5287,1.23191851141501
2.825,-4.475,1.50998,1.21683280818109
2.875,-4.475,1.49095,1.20149728828038
2.925,-4.475,1.47161,1.18591195171286
2.975,-4.475,1.45198,1.17009291568285
3.025,-4.475,1.43206,1.15404018019034
3.075,-4.475,1.41185,1.13775374523535
3.125,-4.475,1.39136,1.12124166942002
3.175,-4.475,1.3706,1.10451201134651
3.225,-4.475,1.34957,1.08756477101482
3.275,-4.475,1.32827,1.07039994842495
3.325,-4.475,1.30672,1.0530336607812
3.375,-4.475,1.28493,1.03547396668574
3.425,-4.475,1.26289,1.0177128075364
3.475,-4.475,1.24062,0.999766300537509
3.525,-4.475,1.21813,0.981642504291206
3.575,-4.475,1.19542,0.963341418797495
3.625,-4.475,1.17251,0.944879161260688
3.675,-4.475,1.14939,0.926247673078628
3.725,-4.475,1.12609,0.90747113005778
3.775,-4.475,1.10261,0.888549532198145
3.825,-4.475,1.07895,0.869482879499722
3.875,-4.475,1.05514,0.850295347768976
3.925,-4.475,1.03118,0.830986937005907
3.975,-4.475,1.00707,0.811557647210515
4.025,-4.475,0.982836,0.792028430748402
4.075,-4.475,0.958482,0.772402511060432
4.125,-4.475,0.934017,0.752687140888542
4.175,-4.475,0.909455,0.732893602275749
4.225,-4.475,0.884805,0.713029147963994
4.275,-4.475,0.860078,0.693102642415647
4.325,-4.475,0.835286,0.673123755953292
4.375,-4.475,0.81044,0.653101353039302
4.425,-4.475,0.78555,0.63304349227583
-4.475,-4.425,0.759988,0.612444093447551
-4.425,-4.425,0.784465,0.632169133942026
-4.375,-4.425,0.80891,0.651868386909607
-4.325,-4.425,0.833313,0.671533793748136
-4.275,-4.425,0.857663,0.691156489995245
-4.225,-4.425,0.881949,0.710727611188563
-4.175,-4.425,0.906161,0.730239098725935
-4.125,-4.425,0.930287,0.749681282284775
-4.075,-4.425,0.954318,0.769046909123144
-4.025,-4.425,0.978243,0.788327114778671
-3.975,-4.425,1.00205,0.80751222892877
-3.925,-4.425,1.02573,0.826594998831503
-3.875,-4.425,1.04928,0.845573006906222
-3.825,-4.425,1.07267,0.864422077346463
-3.775,-4.425,1.09592,0.883158327356537
-3.725,-4.425,1.11899,0.901749522527822
-3.675,-4.425,1.1419,0.92021178006463
-3.625,-4.425,1.16461,0.93851286555834
-3.575,-4.425,1.18714,0.956668896213263
-3.525,-4.425,1.20946,0.974655696222933
-3.475,-4.425,1.23157,0.992473265587351
-3.425,-4.425,1.25347,1.01012160430652
-3.375,-4.425,1.27514,1.02758459517612
-3.325,-4.425,1.29658,1.04486223819616
-3.275,-4.425,1.31777,1.06193841616233
-3.225,-4.425,1.33872,1.07882118767679
-3.175,-4.425,1.35941,1.09549443553521
-3.125,-4.425,1.37984,1.11195815973761
-3.075,-4.425,1.40001,1.12821236028399
-3.025,-4.425,1.4199,1.14424091997002
-2.975,-4.425,1.43951,1.16004383879572
-2.925,-4.425,1.45883,1.17561305815893
-2.875,-4.425,1.47787,1.1909566366618
-2.825,-4.425,1.49661,1.20605845710003
-2.775,-4.425,1.51506,1.22092657807577
-2.725,-4.425,1.53319,1.23553682378255
-2.675,-4.425,1.55103,1.24991337002684
-2.625,-4.425,1.56854,1.26402398240001
-2.575,-4.425,1.58575,1.27789283670854
-2.525,-4.425,1.60264,1.29150381574812
-2.475,-4.425,1.6192,1.30484886091659
-2.425,-4.425,1.63544,1.31793603081609
-2.375,-4.425,1.65136,1.33076532544665
-2.325,-4.425,1.66694,1.34332062760394
-2.275,-4.425,1.68219,1.35560999589011
