x (mm),y (mm),intensity (arb. units)
-44.75,-44.75,0.009972752304561742
-44.25,-44.75,0.009280487553374621
-43.75,-44.75,0.00885437925312335
-43.25,-44.75,0.008753799946882272
-42.75,-44.75,0.00900434727827659
-42.25,-44.75,0.009599933192074259
-41.75,-44.75,0.010513307903531034
-41.25,-44.75,0.011705209714717207
-40.75,-44.75,0.013127001229196938
-40.25,-44.75,0.014723386772748252
-39.75,-44.75,0.01643586776340165
-39.25,-44.75,0.018206846033835284
-38.75,-44.75,0.01998388920121794
-38.25,-44.75,0.021723503603994724
-37.75,-44.75,0.023393722298179924
-37.25,-44.75,0.024975132143717473
-36.75,-44.75,0.026460287878450707
-36.25,-44.75,0.02785190324195492
-35.75,-44.75,0.0291602853708038
-35.25,-44.75,0.030400577341115294
-34.75,-44.75,0.0315902609508807
-34.25,-44.75,0.03274716422441774
-33.75,-44.75,0.03388802530564386
-33.25,-44.75,0.035027577534807376
-32.75,-44.75,0.036178038279669575
-32.25,-44.75,0.037348930344288406
-31.75,-44.75,0.03854711275202906
-31.25,-44.75,0.03977698601012107
-30.75,-44.75,0.04104087546120958
-30.25,-44.75,0.042339502310440105
-29.75,-44.75,0.04367252246778883
-29.25,-44.75,0.04503902474087678
-28.75,-44.75,0.04643798376087706
-28.25,-44.75,0.04786857028852113
-27.75,-44.75,0.04933032348035237
-27.25,-44.75,0.050823200333158625
-26.75,-44.75,0.05234754485483509
-26.25,-44.75,0.053903999095615246
-25.75,-44.75,0.05549337265255886
-25.25,-44.75,0.05711647582739776
-24.75,-44.75,0.058773918458129404
-24.25,-44.75,0.06046591075108153
-23.75,-44.75,0.06219211053072853
-23.25,-44.75,0.06395159091241925
-22.75,-44.75,0.06574302147450888
-22.25,-44.75,0.06756508695141297
-21.75,-44.75,0.0694171102581764
-21.25,-44.75,0.07129977736895216
-20.75,-44.75,0.07321581593925713
-20.25,-44.75,0.07517042313213909
-19.75,-44.75,0.07717131970262275
-19.25,-44.75,0.07922832040207517
-18.75,-44.75,0.08135247721861338
-18.25,-44.75,0.08355488539027624
-17.75,-44.75,0.08584539825790397
-17.25,-44.75,0.08823147681123272
-16.75,-44.75,0.09071738317851048
-16.25,-44.75,0.09330395991034052
-15.75,-44.75,0.09598902087361635
-15.25,-44.75,0.0987682696117888
-14.75,-44.75,0.10163655176231251
-14.25,-44.75,0.1045891432790044
-13.75,-44.75,0.10762278138320841
-13.25,-44.75,0.11073621568006496
-12.75,-44.75,0.11393021003946588
-12.25,-44.75,0.1172070262150913
-11.75,-44.75,0.12056955828089502
-11.25,-44.75,0.12402032803345173
-10.75,-44.75,0.1275606134874776
-10.25,-44.75,0.13118982017853292
-9.75,-44.75,0.13490516343478096
-9.25,-44.75,0.13870168088586016
-8.75,-44.75,0.1425724385977798
-8.25,-44.75,0.14650883303123027
-7.75,-44.75,0.15050094401460476
-7.25,-44.75,0.15453790081235724
-6.75,-44.75,0.1586082485101588
-6.25,-44.75,0.16270037736083376
-5.75,-44.75,0.16680301961853675
-5.25,-44.75,0.17090584315265597
-4.75,-44.75,0.17499991107854698
-4.25,-44.75,0.17907801361254433
-3.75,-44.75,0.18313468559213647
-3.25,-44.75,0.18716590573078357
-2.75,-44.75,0.1911685261582955
-2.25,-44.75,0.19513957365052192
-1.75,-44.75,0.1990756359363313
-1.25,-44.75,0.2029725022949701
-0.75,-44.75,0.20682518662969337
-0.25,-44.75,0.21062822004471257
0.25,-44.75,0.214376171694938
0.75,-44.75,0.2180640585678052
1.25,-44.75,0.22168746904924044
1.75,-44.75,0.22524227771629773
2.25,-44.75,0.22872383383076386
2.75,-44.75,0.2321259032989173
3.25,-44.75,0.23543948125345585
3.75,-44.75,0.23865190763472588
4.25,-44.75,0.24174641623276497
4.75,-44.75,0.24470230095817724
5.25,-44.75,0.24749566037379037
5.75,-44.75,0.2501005815440408
6.25,-44.75,0.2524905139010247
6.75,-44.75,0.25463959923326623
7.25,-44.75,0.25652373412496593
7.75,-44.75,0.25812128282366975
8.25,-44.75,0.2594134675220147
8.75,-44.75,0.2603844694371775
9.25,-44.75,0.26102139132832103
9.75,-44.75,0.26131423437314033
10.25,-44.75,0.26125589904269786
10.75,-44.75,0.2608422290521117
11.25,-44.75,0.26007206218477225
11.75,-44.75,0.2589472534731407
12.25,-44.75,0.2574726134966012
12.75,-44.75,0.2556557331826414
13.25,-44.75,0.25350683924543854
13.75,-44.75,0.25103865670535863
14.25,-44.75,0.24826633541353763
14.75,-44.75,0.24520733403014822
15.25,-44.75,0.24188122991604274
15.75,-44.75,0.2383093514315847
16.25,-44.75,0.2345141775069067
16.75,-44.75,0.23051860461449347
17.25,-44.75,0.22634524975184667
17.75,-44.75,0.22201583671161576
18.25,-44.75,0.21755088693812857
18.75,-44.75,0.21296975764436962
19.25,-44.75,0.20829096284639392
19.75,-44.75,0.20353257212829723
20.25,-44.75,0.19871263883366524
20.75,-44.75,0.19384942710038572
21.25,-44.75,0.1889614280271363
21.75,-44.75,0.18406710601872364
22.25,-44.75,0.17918440348676898
22.75,-44.75,0.17433022936376052
23.25,-44.75,0.1695199395543513
23.75,-44.75,0.16476699640805326
24.25,-44.75,0.16008283844479598
24.75,-44.75,0.15547693006371077
25.25,-44.75,0.1509570153079781
25.75,-44.75,0.1465293334647725
26.25,-44.75,0.1421988148140757
26.75,-44.75,0.13796911565711262
27.25,-44.75,0.133842420070532
27.75,-44.75,0.12981897558276648
28.25,-44.75,0.1258964695178525
28.75,-44.75,0.12206927829084473
29.25,-44.75,0.11832771218682511
29.75,-44.75,0.11465734966719007
30.25,-44.75,0.11103865136911774
30.75,-44.75,0.10744690498853311
31.25,-44.75,0.10385257659728375
31.75,-44.75,0.10022207528402016
32.25,-44.75,0.09651892959818188
32.75,-44.75,0.09270535763103079
33.25,-44.75,0.08874418678983859
33.75,-44.75,0.08460122772978457
34.25,-44.75,0.08024812137532664
34.75,-44.75,0.0756657115483844
35.25,-44.75,0.0708477929895337
35.75,-44.75,0.06580491289488291
36.25,-44.75,0.06056765361610756
36.75,-44.75,0.05518855529232351
37.25,-44.75,0.04974188041736308
37.75,-44.75,0.044320552489350275
38.25,-44.75,0.03903019892329824
38.75,-44.75,0.033980795528059944
39.25,-44.75,0.029277066857111067
39.75,-44.75,0.025009166837660975
40.25,-44.75,0.02124524643265092
40.75,-44.75,0.01802706291444428
41.25,-44.75,0.015369103837475584
41.75,-44.75,0.0132609051113604
42.25,-44.75,0.011671524955762378
42.75,-44.75,0.010554781176680248
43.25,-44.75,0.009853979349457078
43.75,-44.75,0.009505300829946665
44.25,-44.75,0.009439343823011334
44.75,-44.75,0.009580416029425571
-44.75,-44.25,0.013054317780048369
-44.25,-44.25,0.012267065264968225
-43.75,-44.25,0.01175408910004362
-43.25,-44.25,0.011593967849260485
-42.75,-44.25,0.01182368672610138
-42.25,-44.25,0.012439564374150289
-41.75,-44.25,0.013410480044985719
-41.25,-44.25,0.014690053470009228
-40.75,-44.25,0.01622060918644934
-40.25,-44.25,0.017937124351263198
-39.75,-44.25,0.01977177877542914
-39.25,-44.25,0.021658927051310724
-38.75,-44.25,0.02353995933699762
-38.25,-44.25,0.025367385323119062
-37.75,-44.25,0.027107459809485274
-37.25,-44.25,0.028741018152695634
-36.75,-44.25,0.030262522050933542
-36.25,-44.25,0.03167777775696866
-35.75,-44.25,0.033000852394400405
-35.25,-44.25,0.03425081103314184
-34.75,-44.25,0.03544878491090977
-34.25,-44.25,0.03661564278484866
-33.75,-44.25,0.03777034852797021
-33.25,-44.25,0.03892896712566576
-32.75,-44.25,0.04010419283480062
-32.25,-44.25,0.04130529922394439
-31.75,-44.25,0.04253835173605809
-31.25,-44.25,0.04380661909945442
-30.75,-44.25,0.045111149318252663
-30.25,-44.25,0.04645141617969487
-29.75,-44.25,0.04782599466760399
-29.25,-44.25,0.04923316980154794
-28.75,-44.25,0.05067146576075302
-28.25,-44.25,0.05214001134262307
-27.75,-44.25,0.05363872806567449
-27.25,-44.25,0.055168364151060814
-26.75,-44.25,0.056730405249915274
-26.25,-44.25,0.05832689533969493
-25.75,-44.25,0.05996019248629114
-25.25,-44.25,0.0616326911571499
-24.75,-44.25,0.06334653814979783
-24.25,-44.25,0.06510339038203347
-23.75,-44.25,0.06690428389542753
-23.25,-44.25,0.06874967705232328
-22.75,-44.25,0.07063974994451945
-22.25,-44.25,0.0725749623328892
-21.75,-44.25,0.07455678829159534
-21.25,-44.25,0.07658850660333812
-20.75,-44.25,0.07867586942545719
-20.25,-44.25,0.08082742923280369
-19.75,-44.25,0.08305441867293592
-19.25,-44.25,0.08537010062845778
-18.75,-44.25,0.08778867138501972
-18.25,-44.25,0.09032384242781676
-17.75,-44.25,0.09298737278549217
-17.25,-44.25,0.09578779183952273
-16.75,-44.25,0.0987295303700728
-16.25,-44.25,0.1018127061272472
-15.75,-44.25,0.10503358266594126
-15.25,-44.25,0.10838561185839353
-14.75,-44.25,0.1118608528925884
-14.25,-44.25,0.11545144575495067
-13.75,-44.25,0.11915082173234165
-13.25,-44.25,0.12295440819203379
-12.75,-44.25,0.12685974584602955
-12.25,-44.25,0.13086603709871072
-11.75,-44.25,0.13497331082568245
-11.25,-44.25,0.13918142149884344
-10.75,-44.25,0.14348916745443968
-10.25,-44.25,0.14789366387498795
-9.75,-44.25,0.15239004483591642
-9.25,-44.25,0.1569715210566981
-8.75,-44.25,0.161629649731445
-8.25,-44.25,0.16635471624001064
-7.75,-44.25,0.17113616956693345
-7.25,-44.25,0.17596306982329604
