x (mm),y (mm),intensity (arb. units)
-44.75,-44.75,8.740195860725107e-08
-44.25,-44.75,8.136403562040071e-08
-43.75,-44.75,7.767653345170393e-08
-43.25,-44.75,7.685838223065196e-08
-42.75,-44.75,7.91306827488561e-08
-42.25,-44.75,8.443691565136163e-08
-41.75,-44.75,9.25340112086329e-08
-41.25,-44.75,1.0307315053611131e-07
-40.75,-44.75,1.1562401145749415e-07
-40.25,-44.75,1.296995833244036e-07
-39.75,-44.75,1.4478690564224718e-07
-39.25,-44.75,1.6038281531145481e-07
-38.75,-44.75,1.7603057699103574e-07
-38.25,-44.75,1.9135180480219598e-07
-37.75,-44.75,2.060680975255818e-07
-37.25,-44.75,2.2000941309101786e-07
-36.75,-44.75,2.3310881220129844e-07
-36.25,-44.75,2.4538693516125236e-07
-35.75,-44.75,2.569302390769589e-07
-35.25,-44.75,2.678675668878593e-07
-34.75,-44.75,2.7834881315028507e-07
-34.25,-44.75,2.885278846154711e-07
-33.75,-44.75,2.9855035342852264e-07
-33.25,-44.75,3.0854561395725085e-07
-32.75,-44.75,3.1862255135779124e-07
-32.25,-44.75,3.2886806551291707e-07
-31.75,-44.75,3.393472980033936e-07
-31.25,-44.75,3.5010513680103243e-07
-30.75,-44.75,3.6116900189156054e-07
-30.25,-44.75,3.7255210948980793e-07
-29.75,-44.75,3.842572464043064e-07
-29.25,-44.75,3.962803074196596e-07
-28.75,-44.75,4.086137479706383e-07
-28.25,-44.75,4.212492849348503e-07
-27.75,-44.75,4.3417990013872917e-07
-27.25,-44.75,4.4740112540471e-07
-26.75,-44.75,4.609116805868746e-07
-26.25,-44.75,4.747133827552779e-07
-25.75,-44.75,4.888102254703986e-07
-25.25,-44.75,5.03206599032127e-07
-24.75,-44.75,5.179047645243676e-07
-24.25,-44.75,5.329022984306689e-07
-23.75,-44.75,5.481903446196624e-07
-23.25,-44.75,5.637534203824465e-07
-22.75,-44.75,5.795719732470447e-07
-22.25,-44.75,5.956275576153256e-07
-21.75,-44.75,6.119099652908658e-07
-21.25,-44.75,6.284249466542465e-07
-20.75,-44.75,6.452007438613636e-07
-20.25,-44.75,6.622915001288318e-07
-19.75,-44.75,6.79776460691998e-07
-19.25,-44.75,6.977544194924152e-07
-18.75,-44.75,7.163342356529217e-07
-18.25,-44.75,7.356228191892643e-07
-17.75,-44.75,7.557128767955675e-07
-17.25,-44.75,7.766725730601643e-07
-16.75,-44.75,7.985388893036252e-07
-16.25,-44.75,8.213164043808592e-07
-15.75,-44.75,8.449815467244419e-07
-15.25,-44.75,8.694912639685378e-07
-14.75,-44.75,8.94794440387225e-07
-14.25,-44.75,9.208433027832437e-07
-13.75,-44.75,9.476024812228953e-07
-13.25,-44.75,9.750539055177264e-07
-12.75,-44.75,1.0031971029048572e-06
-12.25,-44.75,1.0320452360144836e-06
-11.75,-44.75,1.061618326711951e-06
-11.25,-44.75,1.0919353360978123e-06
-10.75,-44.75,1.1230071768581099e-06
-10.25,-44.75,1.1548313976755636e-06
-9.75,-44.75,1.187389042561295e-06
-9.25,-44.75,1.2206438330542864e-06
-8.75,-44.75,1.2545426553350969e-06
-8.25,-44.75,1.289016821235796e-06
-7.75,-44.75,1.323984011298402e-06
-7.25,-44.75,1.3593509051298325e-06
-6.75,-44.75,1.3950165475900046e-06
-6.25,-44.75,1.4308768056865003e-06
-5.75,-44.75,1.4668299209277855e-06
-5.25,-44.75,1.5027830083538298e-06
-4.75,-44.75,1.5386570854673983e-06
-4.25,-44.75,1.5743904995950968e-06
-3.75,-44.75,1.609938906961634e-06
-3.25,-44.75,1.6452719591709643e-06
-2.75,-44.75,1.6803673657541028e-06
-2.25,-44.75,1.7152038017874004e-06
-1.75,-44.75,1.7497548489663734e-06
-1.25,-44.75,1.7839855753474735e-06
-0.75,-44.75,1.817852859372076e-06
-0.25,-44.75,1.8513081574601695e-06
0.25,-44.75,1.8843022736760108e-06
0.75,-44.75,1.916788914067051e-06
1.25,-44.75,1.9487255687433617e-06
1.75,-44.75,1.980070696517992e-06
2.25,-44.75,2.0107763692625675e-06
2.75,-44.75,2.040779110227453e-06
3.25,-44.75,2.0699901971263612e-06
3.75,-44.75,2.098288993744307e-06
4.25,-44.75,2.1255204107901767e-06
4.75,-44.75,2.1514977971093698e-06
5.25,-44.75,2.1760104092534737e-06
5.75,-44.75,2.198834050193053e-06
6.25,-44.75,2.219742743995274e-06
6.75,-44.75,2.23851906320867e-06
7.25,-44.75,2.254961902454513e-06
7.75,-44.75,2.2688910527123316e-06
8.25,-44.75,2.2801492642529172e-06
8.75,-44.75,2.2886023991700875e-06
9.25,-44.75,2.2941390707069958e-06
9.75,-44.75,2.296670926327212e-06
10.25,-44.75,2.2961337287399776e-06
10.75,-44.75,2.292488885690957e-06
11.25,-44.75,2.2857251607421463e-06
11.75,-44.75,2.275859740760372e-06
12.25,-44.75,2.2629381527993512e-06
12.75,-44.75,2.247032463696005e-06
