x (mm),y (mm),intensity (arb. units)
-44.75,-44.75,0.006050159998092614
-44.25,-44.75,0.005780339826441865
-43.75,-44.75,0.005746914502938006
-43.25,-44.75,0.00596221363277477
-42.75,-44.75,0.006420061825095231
-42.25,-44.75,0.0071053824086255634
-41.75,-44.75,0.007995869737020898
-41.25,-44.75,0.009063571517321733
-40.75,-44.75,0.01027661104213041
-40.25,-44.75,0.011601172579487147
-39.75,-44.75,0.013003663516622042
-39.25,-44.75,0.014452835504892243
-38.75,-44.75,0.015921602905791532
-38.25,-44.75,0.017388340840510733
-37.75,-44.75,0.01883752680819237
-37.25,-44.75,0.020259735664849246
-36.75,-44.75,0.021651036486145473
-36.25,-44.75,0.02301200410816523
-35.75,-44.75,0.02434650261958566
-35.25,-44.75,0.02566041345761652
-34.75,-44.75,0.02696049219033914
-34.25,-44.75,0.02825341668661309
-33.75,-44.75,0.029545165452486682
-33.25,-44.75,0.030840705162780264
-32.75,-44.75,0.03214399498257432
-32.25,-44.75,0.03345823712654678
-31.75,-44.75,0.034786312340678555
-31.25,-44.75,0.03613130295208984
-30.75,-44.75,0.03749695812463953
-30.25,-44.75,0.038887970836955034
-29.75,-44.75,0.04030999419620972
-29.25,-44.75,0.0417693113143259
-28.75,-44.75,0.04327219728045701
-28.25,-44.75,0.04482413330939799
-27.75,-44.75,0.046428992797797886
-27.25,-44.75,0.04808845630295042
-26.75,-44.75,0.049801809792690756
-26.25,-44.75,0.05156612209881925
-25.75,-44.75,0.053376830962375464
-25.25,-44.75,0.05522853840518896
-24.75,-44.75,0.057115787520095544
-24.25,-44.75,0.059033655179294806
-23.75,-44.75,0.06097805092159758
-23.25,-44.75,0.06294569247029051
-22.75,-44.75,0.06493388521338002
-22.25,-44.75,0.06694024011356457
-21.75,-44.75,0.06896250091668216
-21.25,-44.75,0.07099859681506318
-20.75,-44.75,0.07304695463265035
-20.25,-44.75,0.07510703066292344
-19.75,-44.75,0.07717995983886355
-19.25,-44.75,0.07926909484407245
-18.75,-44.75,0.08138030368596025
-18.25,-44.75,0.08352195133695767
-17.75,-44.75,0.08570448710538422
-17.25,-44.75,0.08793962690821854
-16.75,-44.75,0.09023931982650452
-16.25,-44.75,0.09261454116326207
-15.75,-44.75,0.09507419434757468
-15.25,-44.75,0.09762426868382924
-14.75,-44.75,0.10026744611774312
-14.25,-44.75,0.10300319200763407
-13.75,-44.75,0.10582826977561949
-13.25,-44.75,0.10873757160076852
-12.75,-44.75,0.11172497590357519
-12.25,-44.75,0.11478415397722225
-11.75,-44.75,0.11790910103268033
-11.25,-44.75,0.12109441900246197
-10.75,-44.75,0.12433546781847214
-10.25,-44.75,0.1276285057461216
-9.75,-44.75,0.13097089289749028
-9.25,-44.75,0.13436138739978282
-8.75,-44.75,0.13780040032731702
-8.25,-44.75,0.14129007548785447
-7.75,-44.75,0.14483395586744421
-7.25,-44.75,0.1484362674466244
-6.75,-44.75,0.15210073472265548
-6.25,-44.75,0.1558291787214839
-5.75,-44.75,0.15962020231962942
-5.25,-44.75,0.16346817268773361
-4.75,-44.75,0.16736275591021582
-4.25,-44.75,0.17128907194418397
-3.75,-44.75,0.17522842063132466
-3.25,-44.75,0.17915931546775657
-2.75,-44.75,0.18305859235518768
-2.25,-44.75,0.1869023573600281
-1.75,-44.75,0.1906667022241585
-1.25,-44.75,0.19432821203876494
-0.75,-44.75,0.19786438625910685
-0.25,-44.75,0.2012541322567784
0.25,-44.75,0.20447832683069225
0.75,-44.75,0.20752043564463746
1.25,-44.75,0.2103670106670887
1.75,-44.75,0.2130079098297762
2.25,-44.75,0.21543606951058764
2.75,-44.75,0.21764682298286467
3.25,-44.75,0.2196369799324882
3.75,-44.75,0.2214037274878544
4.25,-44.75,0.22294371307051605
4.75,-44.75,0.22425240539534425
5.25,-44.75,0.22532377186310384
5.75,-44.75,0.22615024032545003
6.25,-44.75,0.22672290591494568
6.75,-44.75,0.22703181390046254
7.25,-44.75,0.22706634874453555
7.75,-44.75,0.2268156608782597
8.25,-44.75,0.22626916564186125
8.75,-44.75,0.22541713175308983
9.25,-44.75,0.2242513777167273
9.75,-44.75,0.22276599545902562
10.25,-44.75,0.2209581858927883
10.75,-44.75,0.218829018109408
11.25,-44.75,0.21638402559467354
11.75,-44.75,0.21363366389006966
12.25,-44.75,0.21059343124404659
12.75,-44.75,0.20728376597832268
13.25,-44.75,0.20372969890322418
13.75,-44.75,0.19996031717120505
14.25,-44.75,0.19600809585602186
14.75,-44.75,0.1919081188957459
15.25,-44.75,0.18769719981334854
15.75,-44.75,0.18341276450199676
16.25,-44.75,0.1790915907815025
16.75,-44.75,0.17476841936243037
17.25,-44.75,0.17047458321714287
17.75,-44.75,0.16623675764148416
18.25,-44.75,0.16207592622565697
18.75,-44.75,0.15800675280786958
19.25,-44.75,0.15403732933455944
19.75,-44.75,0.15016937198537927
20.25,-44.75,0.14639876806413865
20.75,-44.75,0.1427164877378353
21.25,-44.75,0.1391097398496579
21.75,-44.75,0.13556336951303236
22.25,-44.75,0.13206145286154836
22.75,-44.75,0.12858897744010933
23.25,-44.75,0.12513350074766602
23.75,-44.75,0.1216865787738829
24.25,-44.75,0.11824480868150064
24.75,-44.75,0.1148102056065407
25.25,-44.75,0.11138989419442298
25.75,-44.75,0.1079951196638129
26.25,-44.75,0.10463968927195161
26.75,-44.75,0.10133799310488342
27.25,-44.75,0.09810288502106392
27.75,-44.75,0.09494365695291336
28.25,-44.75,0.09186443164541834
28.75,-44.75,0.08886302729237465
29.25,-44.75,0.0859305297779055
29.75,-44.75,0.08305144121712879
30.25,-44.75,0.08020440590361468
30.75,-44.75,0.07736343719219303
31.25,-44.75,0.07449941933965434
31.75,-44.75,0.0715818298668327
32.25,-44.75,0.06858062838678203
32.75,-44.75,0.06546824401315109
33.25,-44.75,0.06222167718238672
33.75,-44.75,0.058824597116354446
34.25,-44.75,0.05526946145915343
34.75,-44.75,0.051559467701856765
35.25,-44.75,0.04771014051191371
35.75,-44.75,0.043750318081626195
36.25,-44.75,0.039722191197336186
36.75,-44.75,0.03568020773336103
37.25,-44.75,0.03168862961430311
37.75,-44.75,0.027817752967261918
38.25,-44.75,0.024139106032754737
38.75,-44.75,0.020720094072542744
39.25,-44.75,0.01761877874151091
39.75,-44.75,0.014879622309089827
40.25,-44.75,0.012530756468146841
40.75,-44.75,0.010583133471245237
41.25,-44.75,0.00903149040603185
41.75,-44.75,0.007856657810679861
42.25,-44.75,0.007028524546361856
42.75,-44.75,0.006508924719911033
43.25,-44.75,0.006253652173409041
43.75,-44.75,0.00621230071769529
44.25,-44.75,0.006328639606212976
44.75,-44.75,0.0065473539701593276
-44.75,-44.25,0.00807739944968546
-44.25,-44.25,0.007733986526911842
-43.75,-44.25,0.007655566823280728
-43.25,-44.25,0.007860452033701643
-42.75,-44.25,0.00834262529498012
-42.25,-44.25,0.009084145531365353
-41.75,-44.25,0.010057591940642619
-41.25,-44.25,0.011228500565139923
-40.75,-44.25,0.012557931707872477
-40.25,-44.25,0.01400521066557671
-39.75,-44.25,0.015530691555357532
-39.25,-44.25,0.017098292094456898
-38.75,-44.25,0.018677529991746933
-38.25,-44.25,0.020244851392778068
-37.75,-44.25,0.02178415765691777
-37.25,-44.25,0.023286582907529066
-36.75,-44.25,0.024749615045102407
-36.25,-44.25,0.026175813471833346
-35.75,-44.25,0.027571307891270092
-35.25,-44.25,0.02894426027963621
