x (mm),y (mm),intensity (arb. units)
-44.75,-44.75,5.984110688288976e-08
-44.25,-44.75,5.73146290713065e-08
-43.75,-44.75,5.7129626980498575e-08
-43.25,-44.75,5.941366604691137e-08
-42.75,-44.75,6.411052389785793e-08
-42.25,-44.75,7.107320323091827e-08
-41.75,-44.75,8.008024080906093e-08
-41.25,-44.75,9.085158484161616e-08
-40.75,-44.75,1.0306608662491434e-07
-40.25,-44.75,1.1638182143800971e-07
-39.75,-44.75,1.3045828763579997e-07
-39.25,-44.75,1.4497821396393813e-07
-38.75,-44.75,1.5966638447938998e-07
-38.25,-44.75,1.743032341223299e-07
-37.75,-44.75,1.8873176370744773e-07
-37.25,-44.75,2.028578566636564e-07
-36.75,-44.75,2.166443920151596e-07
-36.25,-44.75,2.3010128402372452e-07
-35.75,-44.75,2.4327305810358584e-07
-35.25,-44.75,2.5622571891386294e-07
-34.75,-44.75,2.6903485364032313e-07
-34.25,-44.75,2.8177577535919957e-07
-33.75,-44.75,2.9451702331921174e-07
-33.25,-44.75,3.0731712644905026e-07
-32.75,-44.75,3.202246797924559e-07
-32.25,-44.75,3.332808731220889e-07
-31.75,-44.75,3.4652367111295045e-07
-31.25,-44.75,3.599925940320024e-07
-30.75,-44.75,3.737325039398102e-07
-30.25,-44.75,3.8779516679425804e-07
-29.75,-44.75,4.0223814138057795e-07
-29.25,-44.75,4.1712040530425636e-07
-28.75,-44.75,4.3249554904356506e-07
-28.25,-44.75,4.484043551256113e-07
-27.75,-44.75,4.648680385132246e-07
-27.25,-44.75,4.818845435897889e-07
-26.75,-44.75,4.994290052794988e-07
-26.25,-44.75,5.174578519864975e-07
-25.75,-44.75,5.359162639859934e-07
-25.25,-44.75,5.547466510068711e-07
-24.75,-44.75,5.73895903803344e-07
-24.25,-44.75,5.933198054594602e-07
-23.75,-44.75,6.129840566355772e-07
-23.25,-44.75,6.328620234935499e-07
-22.75,-44.75,6.529309523868086e-07
-22.25,-44.75,6.731683151382036e-07
-21.75,-44.75,6.935499630874954e-07
-21.25,-44.75,7.140511341496234e-07
-20.75,-44.75,7.346502890710161e-07
-20.25,-44.75,7.553353021756102e-07
-19.75,-44.75,7.761106813691594e-07
-19.25,-44.75,7.970034709221129e-07
-18.75,-44.75,8.180668830742043e-07
-18.25,-44.75,8.393807098915678e-07
-17.75,-44.75,8.610479029797364e-07
-17.25,-44.75,8.831869389404766e-07
-16.75,-44.75,9.059219027911897e-07
-16.25,-44.75,9.293703590579597e-07
-15.75,-44.75,9.53631416487656e-07
-15.25,-44.75,9.78776031304136e-07
-14.75,-44.75,1.004841306871244e-06
-14.25,-44.75,1.0318298779991864e-06
-13.75,-44.75,1.0597141328614492e-06
-13.25,-44.75,1.0884445512099227e-06
-12.75,-44.75,1.117959344214529e-06
-12.25,-44.75,1.1481941427356293e-06
-11.75,-44.75,1.1790892013961943e-06
-11.25,-44.75,1.210593520866843e-06
-10.75,-44.75,1.2426666563306066e-06
-10.25,-44.75,1.275279269895882e-06
-9.75,-44.75,1.3084134360090782e-06
-9.25,-44.75,1.3420633901154502e-06
-8.75,-44.75,1.3762363079616468e-06
-8.25,-44.75,1.410951909960893e-06
-7.75,-44.75,1.4462393408032142e-06
-7.25,-44.75,1.482131248313601e-06
-6.75,-44.75,1.5186541742404156e-06
-6.25,-44.75,1.555817153243905e-06
-5.75,-44.75,1.5936009511817807e-06
-5.25,-44.75,1.6319495898638e-06
-4.75,-44.75,1.6707662098055314e-06
-4.25,-44.75,1.7099138768356654e-06
-3.75,-44.75,1.7492208812180948e-06
-3.25,-44.75,1.7884881298970042e-06
-2.75,-44.75,1.8274971708921554e-06
-2.25,-44.75,1.8660169029500052e-06
-1.75,-44.75,1.9038089879480685e-06
-1.25,-44.75,1.940632673003799e-06
-0.75,-44.75,1.9762501576953543e-06
-0.25,-44.75,2.010433919127789e-06
0.25,-44.75,2.0429752701320508e-06
0.75,-44.75,2.0736931353354754e-06
1.25,-44.75,2.1024410265002267e-06
1.75,-44.75,2.129110092657201e-06
2.25,-44.75,2.1536266423306837e-06
2.75,-44.75,2.1759442527552165e-06
3.25,-44.75,2.1960332297871024e-06
3.75,-44.75,2.2138683103768337e-06
4.25,-44.75,2.229418502155549e-06
4.75,-44.75,2.2426401651329666e-06
5.25,-44.75,2.253473802662452e-06
5.75,-44.75,2.2618439940375344e-06
6.25,-44.75,2.2676618138537416e-06
6.75,-44.75,2.270828110843612e-06
7.25,-44.75,2.271237539434467e-06
