x (mm),y (mm),intensity (arb. units)
-44.75,-44.75,0.005431170786345564
-44.25,-44.75,0.005316259605696831
-43.75,-44.75,0.005440528425835795
-43.25,-44.75,0.005796397608534782
-42.75,-44.75,0.00636552829495037
-42.25,-44.75,0.007122747364160968
-41.75,-44.75,0.008037840706240754
-41.25,-44.75,0.00907754979907486
-40.75,-44.75,0.010207795591267964
-40.25,-44.75,0.011396081980360703
-39.75,-44.75,0.012613794573321202
-39.25,-44.75,0.013838069968220758
-38.75,-44.75,0.01505294779887182
-38.25,-44.75,0.016249645748172108
-37.75,-44.75,0.01742602600435542
-37.25,-44.75,0.018585367970953146
-36.75,-44.75,0.01973473401685957
-36.25,-44.75,0.020883180337433176
-35.75,-44.75,0.02204006159524262
-35.25,-44.75,0.023213621076239803
-34.75,-44.75,0.024409980073989285
-34.25,-44.75,0.025632652950933893
-33.75,-44.75,0.026882558020930702
-33.25,-44.75,0.028158484367127607
-32.75,-44.75,0.029457895298888117
-32.25,-44.75,0.030777854752644378
-31.75,-44.75,0.032115904162084284
-31.25,-44.75,0.03347069169547953
-30.75,-44.75,0.03484224593474283
-30.25,-44.75,0.036231906642455874
-29.75,-44.75,0.03764201110081173
-29.25,-44.75,0.03907543436357648
-28.75,-44.75,0.0405351525463652
-28.25,-44.75,0.042023918042410485
-27.75,-44.75,0.04354404403858023
-27.25,-44.75,0.045097263039926935
-26.75,-44.75,0.046684593951769486
-26.25,-44.75,0.0483061691634796
-25.75,-44.75,0.04996101948002066
-25.25,-44.75,0.05164684474525902
-24.75,-44.75,0.0533598462159648
-24.25,-44.75,0.055094683629984376
-23.75,-44.75,0.056844618673749826
-23.25,-44.75,0.05860185714984938
-22.75,-44.75,0.060358151083164474
-22.25,-44.75,0.06210560905417314
-21.75,-44.75,0.06383769740921613
-21.25,-44.75,0.065550254378345
-20.75,-44.75,0.06724240314626184
-20.25,-44.75,0.06891716402574691
-19.75,-44.75,0.07058159550136646
-19.25,-44.75,0.07224640904751861
-18.75,-44.75,0.07392511890443709
-18.25,-44.75,0.07563283895088938
-17.75,-44.75,0.07738499217832709
-17.25,-44.75,0.07919611396809184
-16.75,-44.75,0.0810789619973234
-16.25,-44.75,0.08304394353603217
-15.75,-44.75,0.0850988506373512
-15.25,-44.75,0.0872487795878864
-14.75,-44.75,0.08949618480634905
-14.25,-44.75,0.09184095382094276
-13.75,-44.75,0.09428051770193628
-13.25,-44.75,0.09681008519394313
-12.75,-44.75,0.09942297358165895
-12.25,-44.75,0.10211110718945071
-11.75,-44.75,0.10486563940746198
-11.25,-44.75,0.10767764822027998
-10.75,-44.75,0.11053874395992591
-10.25,-44.75,0.11344154384452551
-9.75,-44.75,0.11637996053710012
-9.25,-44.75,0.11934920385431425
-8.75,-44.75,0.12234556604860651
-8.25,-44.75,0.12536598562368845
-7.75,-44.75,0.12840740556764843
-7.25,-44.75,0.13146617853413714
-6.75,-44.75,0.13453751529282196
-6.25,-44.75,0.13761516942506397
-5.75,-44.75,0.14069145242957334
-5.25,-44.75,0.14375752290571692
-4.75,-44.75,0.14680396150447605
-4.25,-44.75,0.149821393695302
-3.75,-44.75,0.15280098670403322
-3.25,-44.75,0.1557347473607532
-2.75,-44.75,0.15861552640607435
-2.25,-44.75,0.16143668171560283
-1.75,-44.75,0.16419163362870784
-1.25,-44.75,0.1668734467366838
-0.75,-44.75,0.16947455961212726
-0.25,-44.75,0.17198682676475552
0.25,-44.75,0.17440191770192165
0.75,-44.75,0.17671192029436927
1.25,-44.75,0.1789099209876326
1.75,-44.75,0.1809905072957222
2.25,-44.75,0.18294992590913906
2.75,-44.75,0.18478587456586804
3.25,-44.75,0.18649689658304572
3.75,-44.75,0.18808143224289842
4.25,-44.75,0.18953677624054327
4.75,-44.75,0.19085805529069874
5.25,-44.75,0.19203738368044643
5.75,-44.75,0.19306337695810294
6.25,-44.75,0.19392114938868327
6.75,-44.75,0.19459282103636394
7.25,-44.75,0.19505852203431584
7.75,-44.75,0.19529783259003236
8.25,-44.75,0.19529146111019
8.75,-44.75,0.19502297596341858
9.25,-44.75,0.19448032531325782
9.75,-44.75,0.19365694458491106
10.25,-44.75,0.1925523464147243
10.75,-44.75,0.19117206536763354
11.25,-44.75,0.1895270688107749
11.75,-44.75,0.1876327045465524
12.25,-44.75,0.18550736888676642
12.75,-44.75,0.1831711522277978
13.25,-44.75,0.18064457880051035
13.75,-44.75,0.17794767785322063
14.25,-44.75,0.1750994084839677
14.75,-44.75,0.17211755000592716
15.25,-44.75,0.16901890037773448
15.75,-44.75,0.16581974473579386
16.25,-44.75,0.1625363308209691
16.75,-44.75,0.159185142715355
17.25,-44.75,0.15578289741665155
17.75,-44.75,0.15234614977665906
18.25,-44.75,0.14889059836813043
18.75,-44.75,0.14543023941599342
19.25,-44.75,0.1419765458477567
19.75,-44.75,0.1385379113207434
20.25,-44.75,0.13511944608368226
20.75,-44.75,0.13172325012185782
21.25,-44.75,0.12834911933427096
21.75,-44.75,0.12499559980299171
22.25,-44.75,0.12166123007323065
22.75,-44.75,0.11834576899246664
23.25,-44.75,0.11505119363846486
23.75,-44.75,0.11178221563994861
24.25,-44.75,0.10854631902801667
24.75,-44.75,0.10535329058881295
25.25,-44.75,0.10221430167162698
25.75,-44.75,0.09914077611003737
26.25,-44.75,0.09614303584452545
26.75,-44.75,0.09322885618055748
27.25,-44.75,0.09040197466928737
27.75,-44.75,0.08766073461951149
28.25,-44.75,0.08499700240891289
28.75,-44.75,0.08239564936447327
