x (mm),y (mm),intensity (arb. units)
-44.75,-44.75,6.088011077494986e-08
-44.25,-44.75,5.8216661210015e-08
-43.75,-44.75,5.813563454219015e-08
-43.25,-44.75,6.064194000300905e-08
-42.75,-44.75,6.55834652084471e-08
-42.25,-44.75,7.271979389172065e-08
-41.75,-44.75,8.174247763783553e-08
-41.25,-44.75,9.229521033533371e-08
-40.75,-44.75,1.0399728046743934e-07
-40.25,-44.75,1.1647009959333571e-07
-39.75,-44.75,1.2936480886259145e-07
-39.25,-44.75,1.423867196354773e-07
-38.75,-44.75,1.5531341728424193e-07
-38.25,-44.75,1.680041493332938e-07
-37.75,-44.75,1.8039951374660354e-07
-37.25,-44.75,1.9251267627254832e-07
-36.75,-44.75,2.044138059569266e-07
-36.25,-44.75,2.1621042310080124e-07
-35.75,-44.75,2.2802695209458088e-07
-35.25,-44.75,2.3998556276994306e-07
-34.75,-44.75,2.521907816890103e-07
-34.25,-44.75,2.6471945380534615e-07
-33.75,-44.75,2.7761691335213827e-07
-33.25,-44.75,2.908986952952607e-07
-32.75,-44.75,3.045559446613022e-07
-32.25,-44.75,3.1856287524389346e-07
-31.75,-44.75,3.3288406270034295e-07
-31.25,-44.75,3.4747991717908347e-07
-30.75,-44.75,3.6231027181170765e-07
-30.25,-44.75,3.7733592465674207e-07
-29.75,-44.75,3.9251855261522884e-07
-29.25,-44.75,4.0781998325511695e-07
-28.75,-44.75,4.2320104550459993e-07
-28.25,-44.75,4.3862046994572383e-07
-27.75,-44.75,4.5403421124842473e-07
-27.25,-44.75,4.6939667411085767e-07
-26.75,-44.75,4.846640459694141e-07
-26.25,-44.75,4.998004800132833e-07
-25.75,-44.75,5.147862176185193e-07
-25.25,-44.75,5.296260287536196e-07
-24.75,-44.75,5.443560604973808e-07
-24.25,-44.75,5.590463518114725e-07
-23.75,-44.75,5.73797730264257e-07
-23.25,-44.75,5.88733239892977e-07
-22.75,-44.75,6.039847124305168e-07
-22.25,-44.75,6.19677693992859e-07
-21.75,-44.75,6.359175650832673e-07
-21.25,-44.75,6.527792839974653e-07
