Time [ms],Trace [mG]
-0.999496,0.111688
-0.998488,0.101
-0.99748,0.0878715
-0.996472,0.0725226
-0.995464,0.0548439
-0.994456,0.0347948
-0.993448,0.0121333
-0.99244,-0.0133333
-0.991431,-0.042016
-0.990423,-0.0710209
-0.989415,-0.0994908
-0.988407,-0.126585
-0.987399,-0.151068
-0.986391,-0.171804
-0.985383,-0.187491
-0.984375,-0.197211
-0.983367,-0.200556
-0.982359,-0.197636
-0.981351,-0.189352
-0.980343,-0.177002
-0.979335,-0.162632
-0.978327,-0.148309
-0.977319,-0.136012
-0.97631,-0.127129
-0.975302,-0.122413
-0.974294,-0.122132
-0.973286,-0.125967
-0.972278,-0.13331
-0.97127,-0.143288
-0.970262,-0.155188
-0.969254,-0.168461
-0.968246,-0.182575
-0.967238,-0.196715
-0.96623,-0.20975
-0.965222,-0.220342
-0.964214,-0.227215
-0.963206,-0.229186
-0.962198,-0.225458
-0.96119,-0.215804
-0.960181,-0.200915
-0.959173,-0.182512
-0.958165,-0.162927
-0.957157,-0.14468
-0.956149,-0.129845
-0.955141,-0.119895
-0.954133,-0.115269
-0.953125,-0.115157
-0.952117,-0.117542
-0.951109,-0.11959
-0.950101,-0.118574
-0.949093,-0.112444
-0.948085,-0.100293
-0.947077,-0.0823659
-0.946069,-0.0602301
-0.94506,-0.0368474
-0.944052,-0.0159135
-0.943044,-0.00107966
-0.942036,0.00506566
-0.941028,0.00122908
-0.94002,-0.0122367
-0.939012,-0.0333599
-0.938004,-0.0587618
-0.936996,-0.0842179
-0.935988,-0.10577
-0.93498,-0.120485
-0.933972,-0.127261
-0.932964,-0.126669
-0.931956,-0.120948
-0.930948,-0.113463
-0.92994,-0.108049
-0.928931,-0.108086
-0.927923,-0.115405
-0.926915,-0.129943
-0.925907,-0.149421
-0.924899,-0.170159
-0.923891,-0.187793
-0.922883,-0.198304
-0.921875,-0.1988
-0.920867,-0.188069
-0.919859,-0.167348
-0.918851,-0.139792
-0.917843,-0.109914
-0.916835,-0.082285
-0.915827,-0.06084
-0.914819,-0.0483616
-0.91381,-0.0458515
-0.912802,-0.0527137
-0.911794,-0.0666399
-0.910786,-0.0846369
-0.909778,-0.103551
-0.90877,-0.120712
-0.907762,-0.134194
-0.906754,-0.142793
-0.905746,-0.146428
-0.904738,-0.145692
-0.90373,-0.14182
-0.902722,-0.136184
-0.901714,-0.130347
-0.900706,-0.125865
-0.899698,-0.123866
-0.89869,-0.124902
-0.897681,-0.128662
-0.896673,-0.134138
-0.895665,-0.139421
-0.894657,-0.141894
-0.893649,-0.138645
-0.892641,-0.127102
-0.891633,-0.105699
-0.890625,-0.0741644
-0.889617,-0.0336981
-0.888609,0.0131353
-0.887601,0.06271
-0.886593,0.110831
-0.885585,0.153507
-0.884577,0.187544
-0.883569,0.210929
-0.88256,0.222921
-0.881552,0.223972
-0.880544,0.215567
-0.879536,0.199761
-0.878528,0.178823
-0.87752,0.154923
-0.876512,0.130056
-0.875504,0.105872
-0.874496,0.0836564
-0.873488,0.0642613
-0.87248,0.0480112
-0.871472,0.0345904
-0.870464,0.0230092
-0.869456,0.0118103
-0.868448,-0.000827182
-0.86744,-0.0166386
-0.866431,-0.0369144
-0.865423,-0.0620136
-0.864415,-0.0912138
-0.863407,-0.122697
-0.862399,-0.153801
-0.861391,-0.181472
-0.860383,-0.202745
-0.859375,-0.215312
-0.858367,-0.217962
-0.857359,-0.210851
-0.856351,-0.195293
-0.855343,-0.173449
-0.854335,-0.147823
-0.853327,-0.120832
-0.852319,-0.0944048
-0.85131,-0.0697371
-0.850302,-0.0473462
-0.849294,-0.0271096
-0.848286,-0.00856877
-0.847278,0.00881809
-0.84627,0.0254909
