Time [ms],Trace [mG]
-0.999496,-0.122718
-0.998488,0.729456
-0.99748,-0.10536
-0.996472,0.0194031
-0.995464,-0.0554058
-0.994456,0.73041
-0.993448,-0.367729
-0.99244,-0.404972
-0.991431,0.372048
-0.990423,-0.0103688
-0.989415,0.0430736
-0.988407,-1.06029
-0.987399,0.697945
-0.986391,-0.200149
-0.985383,-0.570672
-0.984375,-0.0600824
-0.983367,-0.604977
-0.982359,0.573314
-0.981351,-1.09847
-0.980343,-0.437766
-0.979335,-0.44969
-0.978327,0.535749
-0.977319,0.150197
-0.97631,-0.546988
-0.975302,0.984351
-0.974294,-0.49724
-0.973286,0.236692
-0.972278,-1.07688
-0.97127,-0.491639
-0.970262,-0.100939
-0.969254,0.824568
-0.968246,-0.576141
-0.967238,0.44865
-0.96623,-1.09939
-0.965222,0.489889
-0.964214,-0.824756
-0.963206,-0.165479
-0.962198,-0.306413
-0.96119,-0.137633
-0.960181,-0.973825
-0.959173,-0.00352977
-0.958165,0.301075
-0.957157,-0.620608
-0.956149,0.124753
-0.955141,0.355539
-0.954133,-0.137235
-0.953125,0.407193
-0.952117,-0.0101547
-0.951109,-0.964685
-0.950101,-0.640932
-0.949093,0.422496
-0.948085,0.466178
-0.947077,-0.922742
-0.946069,-0.59838
-0.94506,0.166699
-0.944052,0.404332
-0.943044,-0.602457
-0.942036,0.82945
-0.941028,0.581133
-0.94002,0.0148495
-0.939012,0.986206
-0.938004,-1.13238
-0.936996,-0.676541
-0.935988,-0.134597
-0.93498,0.179327
-0.933972,-0.439304
-0.932964,0.261672
-0.931956,-1.21584
-0.930948,-0.0866221
-0.92994,0.305597
-0.928931,-0.0914815
-0.927923,0.484188
-0.926915,0.741573
-0.925907,-0.139824
-0.924899,-1.11194
-0.923891,0.15131
-0.922883,0.467958
-0.921875,-1.87478
-0.920867,-0.660148
-0.919859,-0.621938
-0.918851,0.500062
-0.917843,0.119258
-0.916835,0.0646379
-0.915827,0.633388
-0.914819,-0.501172
-0.91381,1.14235
-0.912802,-0.40262
-0.911794,-0.4299
-0.910786,-0.336665
-0.909778,-0.398047
-0.90877,0.406902
-0.907762,-0.324783
-0.906754,-0.498197
-0.905746,0.0998264
-0.904738,0.28102
-0.90373,-0.769697
-0.902722,-0.479283
-0.901714,0.554362
-0.900706,-0.333265
-0.899698,0.177275
-0.89869,-1.002
-0.897681,0.407042
-0.896673,0.415291
-0.895665,0.268626
-0.894657,-0.797291
-0.893649,0.0738187
-0.892641,-0.817722
-0.891633,-0.385827
-0.890625,0.0160212
-0.889617,0.0486033
-0.888609,-0.738156
-0.887601,0.586833
-0.886593,-0.533172
-0.885585,1.06506
-0.884577,0.438755
-0.883569,0.339092
-0.88256,1.18262
-0.881552,0.0267859
-0.880544,-0.773229
-0.879536,0.48569
-0.878528,-0.344131
-0.87752,0.984516
-0.876512,-0.177369
-0.875504,0.331299
-0.874496,0.967358
-0.873488,-0.626725
-0.87248,-1.04453
-0.871472,1.06078
-0.870464,-1.08231
-0.869456,0.413502
-0.868448,0.283401
-0.86744,0.280921
-0.866431,-0.205513
-0.865423,0.353365
-0.864415,-0.0863436
-0.863407,-0.42607
-0.862399,0.217889
-0.861391,0.0302507
-0.860383,-0.849948
-0.859375,-0.441991
-0.858367,-0.465966
-0.857359,-0.642567
-0.856351,0.448366
-0.855343,-1.10555
-0.854335,0.394383
-0.853327,0.254197
-0.852319,-0.0154284
-0.85131,0.160612
-0.850302,-0.0202881
-0.849294,-0.647859
-0.848286,0.0994567
-0.847278,-0.337801
-0.84627,0.542842
-0.845262,-0.200314
-0.844254,0.80852
-0.843246,-0.240968
-0.842238,-0.71603
-0.84123,0.61293
-0.840222,0.370528
-0.839214,0.481287
-0.838206,-0.754945
-0.837198,0.4991
-0.83619,0.0521398
-0.835181,0.314402
-0.834173,0.0342157
-0.833165,0.622269
-0.832157,-0.386489
-0.831149,0.227463
-0.830141,-0.242349
-0.829133,-0.597064
-0.828125,0.136953
-0.827117,1.57167
-0.826109,-1.29318
-0.825101,0.566538
-0.824093,0.615295
-0.823085,-0.707011
-0.822077,-0.722742
-0.821069,-0.089442
-0.82006,-0.534249
-0.819052,-0.129849
-0.818044,0.108412
-0.817036,-0.34313
-0.816028,-0.991726
-0.81502,1.10786
-0.814012,0.19431
-0.813004,0.354505
-0.811996,-0.669338
