Time [us],Trace [arb. u.]
-2.0307,0.000491647
-2.0267,0.000891389
-2.0227,-0.00174724
-2.0187,-0.000940509
-2.0147,-0.000961067
-2.0107,-0.00119041
-2.0067,0.000766006
-2.0027,0.00199972
-1.9987,-0.000349547
-1.9947,-0.00208574
-1.9907,-0.00174634
-1.9867,-0.000694945
-1.9827,-0.00105645
-1.9787,-0.000316084
-1.9747,0.000420609
-1.9707,-0.00013388
-1.9667,-0.00111726
-1.9627,-0.000331094
-1.9587,0.000792782
-1.9547,0.000896727
-1.9507,0.000678285
-1.9467,0.000666953
-1.9427,-0.000668367
-1.9387,0.00124468
-1.9347,-0.000324976
-1.9307,1.84149e-05
-1.9267,1.33e-05
-1.9227,-0.00040113
-1.9187,0.000640053
-1.9147,-3.58425e-05
-1.9107,-0.000848577
-1.9067,5.75382e-05
-1.9027,0.000134348
-1.8987,0.000180717
-1.8947,-0.000122994
-1.8907,-0.000136778
-1.8867,0.000889506
-1.8827,-0.000677036
-1.8787,-0.000475388
-1.8747,8.66671e-05
-1.8707,0.000364023
-1.8667,-0.000636018
-1.8627,0.000477083
-1.8587,2.07433e-05
-1.8547,0.000263967
-1.8507,0.000965759
-1.8467,0.00215012
-1.8427,0.000228286
-1.8387,-0.000279289
-1.8347,0.000557782
-1.8307,0.000440065
-1.8267,0.000503202
-1.8227,-0.000794765
-1.8187,0.000306
-1.8147,-0.000314536
-1.8107,0.000759108
-1.8067,0.000577238
-1.8027,0.00161208
-1.7987,0.00106781
-1.7947,0.00103001
-1.7907,-0.000128889
-1.7867,-0.00117584
-1.7827,-0.000581216
-1.7787,-0.000364558
-1.7747,-0.00112705
-1.7707,-0.00192055
-1.7667,-0.000955519
-1.7627,-0.000480503
-1.7587,-0.00124454
-1.7547,-0.00208785
-1.7507,-0.000410802
-1.7467,0.000233401
-1.7427,0.000669839
-1.7387,0.000603147
-1.7347,-0.000418134
-1.7307,-0.000421032
-1.7267,-0.000335763
-1.7227,-0.000884257
-1.7187,-0.000653146
-1.7147,-0.00111892
-1.7107,0.000118905
-1.7067,0.000720641
-1.7027,0.000825254
-1.6987,-3.30683e-05
-1.6947,0.000323339
-1.6907,0.00118898
-1.6867,-0.000332766
-1.6827,0.000213623
-1.6787,0.000988435
-1.6747,0.00053321
-1.6707,0.000624597
-1.6667,-8.51956e-05
-1.6627,0.00189732
-1.6587,0.000929298
-1.6547,0.000752432
-1.6507,0.00137941
-1.6467,0.00116664
-1.6427,0.001
-1.6387,0.00148202
-1.6347,0.000572903
-1.6307,0.00162631
-1.6267,-0.00189308
-1.6227,0.000470296
-1.6187,0.000238516
-1.6147,-0.000521856
-1.6107,0.000750104
-1.6067,0.00165788
-1.6027,0.000513989
-1.5987,-0.000178576
-1.5947,0.00186353
-1.5907,0.000866384
-1.5867,-0.000938725
-1.5827,0.000595803
-1.5787,-2.10551e-05
-1.5747,-0.000210591
-1.5707,0.0018004
-1.5667,0.000400149
-1.5627,3.05272e-05
-1.5587,-0.000116095
-1.5547,0.0011951
-1.5507,-1.12712e-05
-1.5467,-0.000835338
-1.5427,0.00161253
-1.5387,0.000647942
-1.5347,-0.00177724
-1.5307,-0.000866139
-1.5267,0.00177527
-1.5227,0.00169735
-1.5187,0.000299102
-1.5147,0.00106838
-1.5107,-0.000755531
-1.5067,0.00156773
-1.5027,0.000104674
-1.4987,0.000244188
-1.4947,0.000133469
-1.4907,-0.000998643
-1.4867,-0.000960844
-1.4827,0.000799234
-1.4787,-0.00131125
-1.4747,0.000687623
-1.4707,0.00110228
-1.4667,-0.000532977
-1.4627,-0.000153894
-1.4587,1.80805e-05
-1.4547,0.000462741
-1.4507,0.00171201
-1.4467,0.000853046
-1.4427,0.000498422
-1.4387,0.000466742
-1.4347,-0.000497173
-1.4307,0.0012818
-1.4267,0.00172769
-1.4227,0.000223171
-1.4187,-0.000278843
-1.4147,0.0015546
-1.4107,0.00250808
-1.4067,-1.59876e-06
-1.4027,3.73905e-06
-1.3987,0.000900838
-1.3947,0.00156094
-1.3907,0.000869604
-1.3867,-0.00107757
-1.3827,-0.00091138
-1.3787,-0.000485284
-1.3747,-0.000330425
-1.3707,0.00016993
-1.3667,-0.00118929
-1.3627,-0.001037
-1.3587,-0.00153512
-1.3547,-0.000773315
-1.3507,-0.000416474
-1.3467,-0.000191246
-1.3427,-0.00022705
-1.3387,0.000112006
-1.3347,-0.000703168
-1.3307,-0.00146376
-1.3267,-0.00159238
-1.3227,0.000334671
-1.3187,-0.000101754
-1.3147,-6.11816e-05
-1.3107,-0.00029664
-1.3067,-0.000823894
-1.3027,-0.000877025
-1.2987,0.000128131
-1.2947,0.000261081
-1.2907,-0.000629021
-1.2867,-0.000990085
-1.2827,-0.000101754
-1.2787,-1.93315e-06
-1.2747,-0.000411025
-1.2707,-0.000687155
-1.2667,-0.00214143
-1.2627,-0.00178825
-1.2587,-6.6408e-05
-1.2547,-0.00060923
-1.2507,-0.00101542
-1.2467,-0.00086791
-1.2427,0.000376024
-1.2387,0.00046663
-1.2347,0.00144433
-1.2307,0.00117319
-1.2267,0.000553781
-1.2227,0.000139587
-1.2187,-0.000212486
-1.2147,-0.000484281
-1.2107,0.000268202
-1.2067,-0.00131469
-1.2027,-0.0011783
-1.1987,-0.000910377
-1.1947,-0.000522525
-1.1907,0.000174376
-1.1867,0.000388817
-1.1827,-0.000191692
-1.1787,0.00272163
-1.1747,0.000437278
-1.1707,1.0625e-05
-1.1667,0.000390588
-1.1627,-0.000961513
-1.1587,-0.00050796
-1.1547,0.000862384
-1.1507,0.000962985
-1.1467,0.000694298
-1.1427,0.000253749
-1.1387,0.00117164
-1.1347,-0.000496839
-1.1307,-0.000681383
-1.1267,0.000137915
-1.1227,0.00128448
-1.1187,0.00031789
-1.1147,-0.000772535
-1.1107,-0.000622345
-1.1067,-0.000279177
-1.1027,-0.00125944
-1.0987,-0.00154558
-1.0947,-0.000461158
-1.0907,0.000532443
-1.0867,0.000358574
-1.0827,0.000545335
-1.0787,0.000315004
-1.0747,0.000928852
-1.0707,-0.000227484
-1.0667,0.000606367
-1.0627,0.00101312
-1.0587,7.56571e-05
-1.0547,-0.00182405
-1.0507,-0.00102444
-1.0467,-0.00049695
-1.0427,-0.000515515
-1.0387,-0.00229239
-1.0347,-0.0020516
-1.0307,-0.00274917
-1.0267,-0.00293214
-1.0227,-0.00147165
-1.0187,-0.00245102
-1.0147,-0.00257097
-1.0107,-0.00178537
-1.0067,-0.00356646
-1.0027,-0.00281198
